cluster	weighted_mean_log2FC	count
GH36like	21.6550263659915	1.0
GH88	15.421259455692335	6.0
GH97	14.311016987280127	8.0
M3metallopeptidase	12.129166645841012	13.0
GH89	10.759444547260781	7.0
M60metallopeptidase	10.516973146897419	9.0
GH20	9.415114563323936	35.0
GH33	8.478501362126305	5.0
sulfatases	8.414076765855548	20.0
GH110	8.381422916119321	3.0
GH29	8.32538856967093	25.0
GH84	8.158817266548953	5.0
GH109	8.146713827615132	4.0
GH92	8.051714946365742	9.0
M23metallopeptidase	7.537577774148191	8.0
GH129GH101like	6.676568797054997	2.0
M24metallopeptidase	6.60645936994452	1.0
SIAE	6.390076960240692	7.0
GH36	4.320303439943812	32.0
GH2	4.08815266290607	71.0
GH123	3.694310365113247	9.0
GH3	2.693129986899315	24.0
GH35	0.6006079349097638	7.0
GH42	-0.715086936127238	20.0
carboxypeptidase	-0.8497033048741097	25.0
GH95	-2.2275802653096317	18.0
GH31	-5.171325627794791	53.0
GH27	-8.441080143236386	6.0
GH43	-19.64865763754072	7.0
