cluster	weighted_mean_log2FC	count
GH109	7.430386488839921	4.0
GH92	6.653426071551213	3.0
M60metallopeptidase	6.373620797254664	8.0
GH97	5.979806073551374	8.0
M23metallopeptidase	5.64188838257581	1.0
GH33	4.93550235550656	5.0
M3metallopeptidase	4.476519631679275	11.0
SIAE	4.34670282284067	1.0
GH20	3.7867720182888847	27.0
GH29	2.7924406527811674	8.0
sulfatases	2.670371004034298	14.0
GH123	2.0495918949462686	8.0
GH89	-0.5742038666188439	8.0
GH2	-5.845259596077475	50.0
GH35	-6.799125652716965	11.0
carboxypeptidase	-8.180443702875314	15.0
GH36	-8.384832549008237	13.0
GH3	-9.681141571358891	16.0
GH42	-12.637591690845001	9.0
GH27	-13.04478692706769	4.0
GH95	-14.960782458653206	5.0
GH31	-16.277804166539838	25.0
GH43	-21.834746877395272	6.0
GH16	-27.1153821809683	1.0
