cluster	weighted_mean_log2FC	count
M60metallopeptidase	23.901840752051225	2.0
GH89	23.86566083132913	3.0
GH36like	20.0976966371471	1.0
GH97	18.080539389818025	3.0
GH88	17.788617491904986	3.0
GH16	17.53713115684895	2.0
GH3	13.850395253016407	13.0
M3metallopeptidase	11.975667636042173	8.0
GH36	10.922087940736553	15.0
GH2	10.625136814862401	48.0
GH20	10.060462114278897	16.0
sulfatases	9.853327380563908	11.0
GH29	9.310875989923952	11.0
GH84	8.9482582006018	2.0
GH42	8.739523960562277	9.0
GH92	8.619988100441416	3.0
GH110	8.534240526641911	2.0
GH33	8.374799031178025	2.0
GH109	7.835313681332184	2.0
GH35	7.783961935967039	11.0
M23metallopeptidase	7.424657250805858	4.0
GH31	7.095515575456607	15.0
M24metallopeptidase	6.733905750276481	1.0
GH129GH101like	6.326375478563736	2.0
GH27	6.2762893045656	1.0
GH95	3.7549014106823453	8.0
carboxypeptidase	0.3408033555049105	7.0
GH123	-0.7658982041231912	4.0
