Genome	SRR10507658_R1_nonhuman.fastq Read Count	SRR10507659_R1_nonhuman.fastq Read Count	SRR10507660_R1_nonhuman.fastq Read Count	SRR10507665_R1_nonhuman.fastq Read Count	SRR10507666_R1_nonhuman.fastq Read Count
SemiBin_179	629	2288	191078	116127	907
SemiBin_10	118849	113510	95738	63507	273991
bin.2	6038081	578455	228516	163703	1500909
SemiBin_50	711	272544	207451	106729	277508
SemiBin_97	4032	90550	756	510	1770510
bin.77	63102	144732	116038	73301	1151
bin.79	12600	60629	689014	377342	6937
bin.30	811	2651	149793	100430	1113
SemiBin_168	2530	19707	355509	279064	3622
SemiBin_113	143	343028	849	487	886
bin.3	82994	132239	568907	305951	139329
SemiBin_89	13878	80883	482413	235826	22065
bin.27_sub	5462	862827	416937	207259	7141
SemiBin_112	3385	756566	4439	2218	4770
SemiBin_49	3628625	969467	3167271	1494705	2956371
SemiBin_96	139	1046	122176	57427	184
bin.40	1519	218	230	178	171505
SemiBin_130_sub	4292	446827	1620868	853710	96557
SemiBin_36	151988	20902	2946	1649	13100
SemiBin_117_sub	5665	80692	248782	209555	1688
bin.34_sub	485	108772	96919	79065	318
SemiBin_29	8651	900293	582118	288897	6528
SemiBin_20	128	183686	200	79	66
bin.106	2533	571	89523	48123	112190
SemiBin_107	722	20064	140165	78181	747
bin.100	18588	6358654	22887	11403	544902
