Genome	SRR10507653_R1_nonhuman.fastq Read Count	SRR10507654_R1_nonhuman.fastq Read Count	SRR10507655_R1_nonhuman.fastq Read Count	SRR10507656_R1_nonhuman.fastq Read Count	SRR10507657_R1_nonhuman.fastq Read Count
bin.73	609859	15176	13537	8260	515
SemiBin_86	182206	1150	693	774	303
bin.46	7919	179543	122	72800	43
bin.157	22079	474179	3574	2419	896
SemiBin_22	163863	490280	66528	569956	109939
SemiBin_106	154625	50536	12901	45723	1179
SemiBin_207	610608	8873	24560	30638	2780
SemiBin_34	13711	44579	418748	2037700	45970
SemiBin_165	2683959	8448	8939	4137	3535
bin.32	135205	4737	14899	2081565	2674
SemiBin_87	233545	31706	86453	6533	1663
SemiBin_63	111687	1188	594	1137	267
SemiBin_140	352223	4510	3084	1435	788
bin.111	45820	1074448	905	1005	2471
SemiBin_16	213290	279324	101835	743981	4250
SemiBin_317	670969	1829	4438	1325	2492
SemiBin_299	11081	10615	4287	7477	1289907
bin.168_sub	2637	4743	1831	140157	91895
SemiBin_96	63990	257	898	417148	5236
SemiBin_164	624142	33480	22595	14838	5613
SemiBin_71	7035	197190	1216	645	335
bin.29	312111	1489	3195	1362	584
SemiBin_326	2160	841997	1030	1290	1728
SemiBin_195	10043	2804	4236	2660	714456
bin.76	46499	178965	743	201	5575
SemiBin_136	323	328	292	380	232379
bin.115	129092	4859	317185	1844771	11352
SemiBin_185	65217	237278	469310	178904	2105068
bin.14	42587	50663	24782	90264	4137
SemiBin_227	10088	603024	1961	8484	1344
SemiBin_139	130569	15716	28923	466592	15557
SemiBin_170	2190	2968	1088	2909	647962
SemiBin_102	6641	4381	2384	330458	3333
bin.126	4404	31229	3513	45342	1884249
SemiBin_21	8436	747	4339	531239	742964
SemiBin_186_sub	138026	58029	350337	8535	2985
