Genome	SRR10507661_R1_nonhuman.fastq Read Count	SRR10507662_R1_nonhuman.fastq Read Count	SRR10507663_R1_nonhuman.fastq Read Count
SemiBin_38	77	324847	229
SemiBin_44	511333	48	25363
bin.6	686	783433	1749
SemiBin_70	120	800208	515
SemiBin_30	104356	2490022	1980
SemiBin_93	72	572182	365
SemiBin_22	951	1217583	78819
bin.5	1186	1937129	3270
bin.2	1009	101474	964
bin.13	54	300107	191
SemiBin_34	55	277850	230
bin.28	7531	133736	270
SemiBin_64	4956	1811060	27230
SemiBin_40	4293	847535	4548
bin.11_sub	1468	767737	118257
