SRR10507658	SRR10507659	SRR10507660	SRR10507665	SRR10507666
SemiBin_179	3723.04744481066	1235.63258714309	47034.8453561028	52648.3688146365	2542.52529068441
SemiBin_10	703466.559250082	61300.9855623303	23566.4075649869	28792.097947171	768058.486130001
bin.2	35739367.3109853	312394.164421265	56250.4041354587	74217.8470128604	4207385.98844084
SemiBin_50	4208.40498133605	147187.171254513	51065.1446214053	48387.6080086228	777917.429291343
SemiBin_97	23865.3852106146	48901.455754286	186.093339312813	231.218132694934	4963138.3157769
bin.77	373500.381339336	78162.4019241229	28563.358342831	33232.392832689	3226.51224870755
bin.79	74579.3287831706	32742.6434116688	169604.386366771	171075.122798768	19445.9734746171
bin.30	4800.30441612312	1431.67044952636	36872.3274810638	45531.8373853966	3119.98968967116
SemiBin_168	14975.0557001128	10642.7497355021	87510.3928118504	126518.935259567	10153.2818113108
SemiBin_113	846.416191745507	185251.999607744	208.985773910818	220.79064827928	2483.65756069061
bin.3	491241.016907179	71415.5671727337	140039.422471474	138708.664541466	390570.569157406
SemiBin_89	82143.8035597493	43680.800063765	118748.473674487	106916.171295913	61853.1648720523
bin.27_sub	32329.5471280697	465969.037704068	102631.215096649	93964.7822827831	20017.8314231283
SemiBin_112	20035.7958675423	408582.868848119	1092.68298043595	1005.57219277915	13371.384384305
SemiBin_49	21477810.8655422	523559.885209723	779640.260447927	677652.74319565	8287373.79949939
SemiBin_96	822.740214354025	564.891471220135	30074.2590262993	26035.6151103372	515.793443755161
bin.40	8990.95241441556	117.7307272715	56.6156984681839	80.6996619994084	480767.144408852
SemiBin_130_sub	25404.323741061	241308.567314416	398985.104107514	387045.553064691	270671.019286234
SemiBin_36	899616.112944169	11288.1085386647	725.173250814216	747.605295713621	36722.2506151772
SemiBin_117_sub	33531.1029806874	43577.6506651005	61238.9856361379	95005.7172487979	4731.84420140604
bin.34_sub	2870.71225871728	58742.232416402	23857.1168688605	35845.6111010294	891.425625620332
SemiBin_29	51205.2201034293	486202.521318536	143291.378960445	130976.911531703	18299.454352357
SemiBin_20	757.631276527447	99199.4787596001	49.2310421462468	35.816142123333	185.012865694786
bin.106	14992.8126831564	308.368097578104	22036.5529302923	21817.4709797614	314493.839428758
SemiBin_107	4273.51391916263	10835.5473026394	34502.3451121434	35444.8330043581	2094.00925263644
bin.100	110022.26693822	3433986.05453135	5633.75430800576	5169.76542572615	1527483.03852758
