SRR10507653	SRR10507654	SRR10507655	SRR10507656	SRR10507657
bin.73	153064.541543644	12424.8936114837	20707.957083074	8037.74526601835	1683.6727854354
SemiBin_86	45730.6981720385	941.527915999357	1060.10299612693	753.173708946514	990.588065994029
bin.46	1987.53827439477	146995.431845454	186.627078683241	70841.1447174499	140.578504414994
bin.157	5541.46452334412	388219.796244051	5467.25556732707	2353.91111361966	2929.26371990314
SemiBin_22	41126.9079753946	401402.005787969	101769.887628186	554619.992837622	359420.004578606
SemiBin_106	38808.3224748441	41374.8302286465	19735.0487056761	44492.7151087357	3854.46643500647
SemiBin_207	153252.52817927	7264.50191188025	37570.1725611508	29813.6125254565	9088.5637738066
SemiBin_34	3441.23466097066	36497.7156237698	640571.44216762	1982870.88723554	150288.229022262
SemiBin_165	673629.40262739	6916.54594292397	13674.2578389302	4025.6842815397	11556.8607699303
bin.32	33934.2230571467	3878.27629399039	22791.4495516525	2025555.59620575	8742.02141408592
SemiBin_87	58615.9396759093	25958.3340040657	132249.760929526	6357.21426427335	5436.79192656129
SemiBin_63	28031.593288588	972.639273223683	908.659710965943	1106.40633988655	872.894434390778
SemiBin_140	88402.15855817	3692.42687057139	4717.68779228782	1396.38794875743	2576.18282509338
bin.111	11500.0636106539	879671.98807798	1384.40578859289	977.958110453807	8078.36010254537
SemiBin_16	53532.2690422604	228688.124877047	155780.070145146	723962.440769685	13894.3870642727
SemiBin_317	168402.142749385	1497.43874640245	6788.94241964117	1289.34775756348	8147.0147209806
SemiBin_299	2781.14807659659	8690.71202463754	6557.95316651683	7275.81372324688	4217051.09056818
bin.168_sub	661.843468819169	3883.18861355213	2800.93591040175	136385.746156094	300429.341005021
SemiBin_96	16060.4336631546	210.411021227682	1373.6976775209	405923.651601577	17117.884863184
SemiBin_164	156649.338762129	27410.7431544856	34564.2528102281	14438.7486994165	18350.3987274735
SemiBin_71	1765.66886732759	161443.382396446	1860.15186621984	627.644757455428	1095.20462741914
bin.29	78334.7087207507	1219.07397123743	4887.48783928651	1325.35218551053	1909.25224600829
SemiBin_326	542.12434306007	689359.722337139	1575.62205773556	1255.28951491086	5649.29431695605
SemiBin_195	2520.62721173717	2295.69067518452	6479.93692870662	2588.42644159913	2335747.81279812
bin.76	11670.4814018288	146522.211727674	1136.589503784	195.591622090761	18226.1665607812
SemiBin_136	81.0676679668531	268.540136041556	446.681204717265	369.775205942733	759709.122731441
bin.115	32399.9609695882	3978.16012507902	485207.458624129	1795133.09590048	37112.7251655585
SemiBin_185	16368.3904080318	194264.226828257	717917.658170752	174090.166957839	6882030.49143868
bin.14	10688.6339805089	41478.8076593699	37909.7726551481	87835.2347084601	13524.9598317403
SemiBin_227	2531.92146888425	493707.765232692	2999.80083031012	8255.71801899512	4393.8955798547
SemiBin_139	32770.6635875048	12867.0023720399	44244.3852193063	454037.24445061	50859.9951903271
SemiBin_170	549.653847824793	2429.9607432053	1664.34640661775	2830.72651075634	2118361.13669183
SemiBin_102	1666.78137141756	3586.81199999407	3646.8766850889	321566.250014273	10896.4687259343
bin.126	1105.33129946137	25567.8045989077	5373.94202798545	44121.9668101458	6160114.10152206
SemiBin_21	2117.29673984016	611.583785436104	6637.49913448018	516944.764815293	2428948.09195772
SemiBin_186_sub	34642.2474885228	47509.4986413275	535921.07266107	8305.34574400323	9758.76362043623
