SRR10507661	SRR10507662	SRR10507663
SemiBin_38	884.227594099833	6791.96198871278	953.774610556217
SemiBin_44	5871879.84901104	1.00359300057631	105635.74431239
bin.6	7877.66402016214	16380.1640670938	7284.505650056
SemiBin_70	1378.01702976597	16730.8989126077	2144.95163509368
SemiBin_30	1198369.54298548	52061.8468850215	8246.61016987472
SemiBin_93	826.810217859584	11963.2885469949	1520.2084404062
SemiBin_22	10920.7849608953	25457.4536754314	328277.559080483
bin.5	13619.401644187	40501.8563669456	13619.401644187
bin.2	11586.8265252822	2121.63741959335	4015.01626452486
bin.13	620.107663394688	6274.69342966574	795.506334568723
SemiBin_34	631.591138642738	5809.33990021101	957.939565187467
bin.28	86482.0520930629	2796.1773651057	1124.53775043746
SemiBin_64	56912.1033293347	37865.9820754945	113411.714608934
SemiBin_40	49298.5592398777	17720.4207029884	18942.2136629244
bin.11_sub	16857.7416641371	16051.9891559053	492535.039827714
