class	carn	carn	carn	carn	carn	carn	carn	carn	carn	herb	herb	herb	herb	herb	herb	herb	herb	herb	herb	omni	omni	omni	omni	omni	omni	omni	omni	omni	omni
subclass	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA
subject	SRR11927435	SRR11927436	SRR11927437	SRR11927438	SRR11927439	SRR11927440	SRR11927441	SRR11927452	SRR11927463	SRR11927453	SRR11927454	SRR11927455	SRR11927456	SRR11927457	SRR11927458	SRR11927459	SRR11927460	SRR11927461	SRR11927462	SRR11927442	SRR11927443	SRR11927444	SRR11927445	SRR11927446	SRR11927447	SRR11927448	SRR11927449	SRR11927450	SRR11927451
AAO76729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAO76731	145.0	0.0	343.0	9.0	1.0	27.0	165.0	105.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0
AAO76735	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	21.0	0.0	0.0	0.0	0.0	14.0	90.0	82.0	17.0
AAO76743	0.0	0.0	0.0	0.0	0.0	336.0	265.0	2.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAO77025	164.0	0.0	133.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAO78163	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAO78215	130.0	0.0	0.0	0.0	0.0	287.0	278.0	1.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAO78283	360.0	152.0	144.0	680.0	0.0	397.0	3.0	119.0	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	22.0	171.0	539.0	120.0
AAO78901	391.0	188.0	150.0	661.0	0.0	351.0	308.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	58.0	0.0	0.0	0.0	0.0	11.0	238.0	586.0	23.0
AAO79736	213.0	156.0	129.0	647.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	47.0	0.0	0.0	0.0	0.0	29.0	282.0	563.0	116.0
AAO79788	0.0	0.0	0.0	0.0	0.0	0.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASM67518	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BACOVA_04809	0.0	192.0	141.0	230.0	36.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	16.0	646.0	0.0
BT_3990	0.0	0.0	0.0	0.0	0.0	0.0	416.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BT_4091	0.0	231.0	0.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BT_4092	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BT_4093	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BT_4096	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GH109	318.0	146.0	272.0	507.0	12.0	357.0	893.0	17.0	116.0	145.0	10.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	164.0	54.0	1.0	25.0	0.0	0.0	24.0	274.0	410.0	61.0
GH110	249.0	143.0	212.0	541.0	0.0	404.0	385.0	7.0	166.0	166.0	17.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	273.0	67.0	0.0	30.0	0.0	0.0	22.0	223.0	469.0	72.0
GH123	532.0	570.0	407.0	1015.0	414.0	458.0	665.0	216.0	168.0	514.0	38.0	0.0	195.0	20.0	2465.0	36.0	35.0	646.0	0.0	496.0	86.0	22.0	326.0	0.0	17.0	65.0	372.0	656.0	154.0
GH129	39.0	110.0	37.0	36.0	9.0	0.0	1.0	19.0	20.0	238.0	189.0	0.0	83.0	31.0	1.0	25.0	0.0	0.0	183.0	23.0	4.0	16.0	26.0	13.0	5.0	25.0	166.0	20.0	3.0
GH16	0.0	121.0	15.0	68.0	48.0	167.0	165.0	2.0	116.0	31.0	36.0	11.0	3.0	380.0	0.0	3.0	105.0	56.0	90.0	724.0	99.0	49.0	65.0	31.0	91.0	75.0	350.0	618.0	98.0
GH2	7949.0	3300.0	4794.0	7188.0	4877.0	4303.0	14848.0	1763.0	3923.0	3419.0	4452.0	1075.0	7366.0	3442.0	11576.0	1030.0	2060.0	5554.0	8866.0	4141.0	1508.0	907.0	2272.0	7352.0	834.0	3947.0	3170.0	8049.0	1231.0
