Arquivo	SRR	CDS	log2FoldChange
nanH_DESeq2_carn_vs_herb.csv	SRR11927435	k99_20512_4	6.9054694397015
nanH_DESeq2_carn_vs_herb.csv	SRR11927462	k99_31703_2	6.06137988661321
nanH_DESeq2_carn_vs_herb.csv	SRR11927438	k99_29782_3	5.00488772805051
nanH_DESeq2_carn_vs_herb.csv	SRR11927452	k99_5618_1	-5.03400632371783
nanH_DESeq2_carn_vs_herb.csv	SRR11927439	k99_17436_40	4.93449026669008
nanH_DESeq2_carn_vs_herb.csv	SRR11927436	k99_10753_1	4.44803998267431
nanH_DESeq2_carn_vs_herb.csv	SRR11927436	k99_10753_2	4.68358317294748
nanH_DESeq2_carn_vs_omni.csv	SRR11927435	k99_20512_4	6.39216986483177
nanH_DESeq2_carn_vs_omni.csv	SRR11927436	k99_10753_2	4.17028453495702
nanH_DESeq2_carn_vs_omni.csv	SRR11927438	k99_29782_3	4.49157760749815
nanH_DESeq2_carn_vs_omni.csv	SRR11927439	k99_17436_40	4.421193299803
nanH_DESeq2_carn_vs_omni.csv	SRR11927462	k99_31703_2	5.54809042509008
nanH_DESeq2_omni_vs_herb.csv	SRR11927452	k99_5618_1	-5.2869366450384
nanH_DESeq2_omni_vs_herb.csv	SRR11927442	k79_20022_1	4.10759298745363
