Gene	log2FoldChange	MAG_protein	Sialic_hit	Identity	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
SRR10507658|k141_3147_40	23.8150434112921	CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_13867_69	23.7700732956704	diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507658|k141_31640_6	24.3718825317646	CDIpos_DASTool_bins_bin.2|k141_44186_6	satD|WP_207616619.1	45.1	80.0	98.9	3.7e-63	244.2	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_44351_214	21.273022353314	diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_20223_153	nanR|nanR_1411_uniprot	43.8	98.8	98.8	6.6e-114	413.3	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
SRR10507658|k141_11379_234	23.8783305820668	CDIpos_DASTool_bins_bin.2|k141_138055_41	nanA|nanA_5472_bv	100.0	99.7	96.4	5.4e-167	589.0	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_27510_6	24.2142221828802	CDIpos_DASTool_bins_bin.2|k141_44186_6	satD|WP_207616619.1	45.1	80.0	98.9	3.7e-63	244.2	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12471_59	23.5415621991268	CDIpos_DASTool_bins_bin.2|k141_138055_39	nanE|nanE_8421_bv	100.0	99.6	87.7	8.8e-125	448.4	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12523_43	24.2117511264182	CDIpos_DASTool_bins_bin.2|k141_97161_3	siaM|siaM_3328_bv	100.0	99.8	100.0	1.8e-227	790.4	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_40091_33	24.93179689323	CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12523_41	23.8740811437028	CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_52838_87	23.6547427380215	diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507665|k141_51859_58	23.3476425169275	CDIpos_DASTool_bins_bin.71|k141_78823_12	nanU|nanU_291680_bv	42.6	99.0	98.2	1.2e-115	419.1	CDIpos	bin.71	Parabacteroides distasonis
SRR10507659|k141_35572_2	25.5044291672134	CDIpos_DASTool_bins_bin.100|k141_117059_2	nanU|nanU_38453_bv	54.6	96.7	95.6	2.3e-174	614.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507666|k141_18488_53	23.4992695997608	CDIpos_DASTool_bins_bin.2|k141_140806_51	ompF|ompF_6607_bv	100.0	99.7	97.4	3.2e-217	756.1	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_14628_11	24.2506254012928	CDIpos_DASTool_bins_bin.2|k141_90233_11	satD|WP_022922052.1	47.9	79.3	92.8	2.5e-58	228.0	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_38285_64	22.9231139211117	diarrheaCDIneg_DASTool_bins_bin.5|k141_15269_162	nanU|nanU_291680_bv	42.8	99.0	98.2	1.1e-116	422.5	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507658|k141_3147_41	22.7465066799261	CDIpos_DASTool_bins_bin.2|k141_97161_4	siaQ|siaQ_388033_bv	100.0	99.4	97.7	1.1e-81	304.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_12523_42	22.5724093318303	CDIpos_DASTool_bins_bin.2|k141_97161_4	siaQ|siaQ_388033_bv	100.0	99.4	97.7	1.1e-81	304.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_31756_47	23.9964921387974	CDIpos_DASTool_bins_bin.2|k141_126378_47	satD|WP_062009075.1	41.1	85.5	84.6	1.5e-43	178.7	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_3934_23	24.692522492641	CDIpos_DASTool_bins_bin.100|k141_117059_2	nanU|nanU_38453_bv	54.6	96.7	95.6	2.3e-174	614.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507658|k141_31782_21	24.5778350851026	CDIpos_DASTool_bins_bin.2|k141_41201_26	siaT|siaT_19174_uniprot	90.6	99.8	100.0	3.2e-205	716.5	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_18311_25	23.7966928352075	CDIpos_DASTool_bins_bin.2|k141_90233_11	satD|WP_022922052.1	47.9	79.3	92.8	2.5e-58	228.0	CDIpos	bin.2	Escherichia coli
