qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	baseMean	log2FoldChange	padj
SRR11927448|k99_9776_2	GH2.ADY34049.1	69.3	1030	313	2	1	1028	1	1029	0.0e+00	1551.6	35.0451058741579	24.0513363748772	3.9517526607934e-21
SRR11927450|k99_10174_1	GH2.ADY34049.1	68.7	1030	319	2	1	1028	1	1029	0.0e+00	1541.9	36.2287541326891	24.0696473232012	8.98506436728822e-21
SRR11927449|k99_1691_14	GH2.ADY34049.1	68.9	1030	317	2	1	1028	1	1029	0.0e+00	1545.8	37.2471146506592	24.0702593712482	2.70418113564157e-20
SRR11927449|k99_13342_48	GH31.UVQ04253.1	74.2	1287	331	1	3	1288	2	1288	0.0e+00	2010.7	38.424013298388	23.9990198877262	2.72264126351632e-20
SRR11927450|k99_5303_2	GH31.UVQ04253.1	74.0	1287	333	1	3	1288	2	1288	0.0e+00	2007.3	40.8601879835462	24.104797616267	6.08976899989386e-20
SRR11927448|k99_7393_1	GH31.UVQ04253.1	74.1	1287	332	1	3	1288	2	1288	0.0e+00	2010.0	38.0587377191803	23.9320535270545	7.5988097461958e-20
SRR11927448|k99_17686_17	GH36.CUA16889.1	68.2	718	225	3	3	719	4	719	3.1e-308	1056.6	20.9049134869433	23.2639160047978	9.0257175866751e-20
SRR11927450|k99_1681_1	GH2.QUT69940.1	68.1	891	281	2	1	889	234	1123	0.0e+00	1304.3	28.6225219631533	23.7625101076277	3.0950682201562e-19
SRR11927450|k99_7533_1	GH36.CUA16889.1	67.7	718	229	3	5	721	4	719	1.9e-305	1047.3	23.2194962219606	23.4793247382793	7.00659248221363e-19
SRR11927448|k99_2841_5	GH2.QUT69940.1	70.1	1117	328	3	4	1115	8	1123	0.0e+00	1671.8	30.5700714792442	23.8853701188682	1.09595162607772e-17
SRR11927449|k99_6562_1	GH2.ADY31985.1	64.5	813	288	1	25	837	23	834	0.0e+00	1152.9	25.7178637833866	23.3361909394261	1.42777958823788e-17
SRR11927448|k99_7054_2	WP_083535713.1	43.0	776	392	18	215	976	27	766	9.4e-167	587.0	31.9905157923935	23.8725822173266	3.24738522905137e-17
SRR11927449|k99_69_4	GH36.CUA16889.1	68.1	718	226	3	5	721	4	719	9.0e-308	1055.0	26.7920524170632	22.7291336017152	5.28980329322136e-17
SRR11927449|k99_11706_2	WP_083535713.1	43.5	774	389	18	215	974	27	766	5.9e-169	594.3	30.2212477600553	23.9307398937025	1.39155822504827e-16
SRR11927449|k99_11336_5	GH95.AZQ64685.1	51.6	754	359	5	24	776	306	1054	1.5e-239	828.6	22.8488547167438	23.1218179024399	1.63765111042813e-16
SRR11927463|k99_21669_6	GH31.UVQ04253.1	73.7	1290	332	3	3	1288	2	1288	0.0e+00	2003.8	43.11320103314	20.4922378708415	7.146923168568e-15
SRR11927449|k99_12363_4	GH89.UHZ88335.1	64.3	715	252	2	2	713	4	718	1.0e-295	1015.0	22.5450367688729	23.5029031855766	3.70800770939964e-14
SRR11927449|k99_9673_2	GH20.QIL41543.1	49.2	744	348	7	28	765	57	776	7.8e-209	726.5	23.5912745680802	23.5911418010038	4.40851109908986e-14
SRR11927450|k99_7289_2	GH89.UHZ88335.1	64.1	715	254	2	2	713	4	718	3.3e-294	1010.0	20.4555764934375	23.3875571586339	4.60867099769181e-14
SRR11927434|k99_11644_2	GH31.UVQ04253.1	73.7	1290	332	3	3	1288	2	1288	0.0e+00	2003.8	44.6152100973936	19.8827627301405	6.56405980623978e-14
SRR11927448|k99_17378_4	GH89.UHZ88335.1	63.9	715	255	2	2	713	4	718	5.6e-294	1009.2	26.4749534808658	24.7089859600063	9.10355267795238e-14
SRR11927460|k99_5951_12	GH2.SET68766.1	76.9	1007	231	1	1	1007	1	1005	0.0e+00	1686.4	21.9560386883419	-24.4120921457668	1.79419581783572e-13
SRR11927460|k99_2209_2	GH2.SET94562.1	73.5	1018	266	1	1	1014	1	1018	0.0e+00	1622.8	21.784444734639	-24.355788767013	2.10950821572164e-13
SRR11927462|k99_10897_1	GH31.QCU03644.1	74.5	663	168	1	1	662	1	663	0.0e+00	1076.6	10.3770862022749	20.6434436599383	2.45393174013106e-13
SRR11927460|k99_6582_37	GH2.BCJ95530.1	42.6	1093	507	13	33	1015	66	1148	2.9e-267	921.0	25.2669760269655	-24.5900726332269	2.48860163426618e-13
SRR11927450|k99_3676_1	GH2.UWP48101.1	69.3	834	251	2	53	881	1	834	0.0e+00	1260.0	28.4924398435378	24.1830943223545	2.51822317786484e-13
SRR11927460|k99_2413_16	GH36.QEI32555.1	57.2	743	309	2	1	736	1	741	1.3e-261	901.7	20.6257649636168	-24.3055963641576	2.5465101632525e-13
SRR11927460|k99_2403_38	GH31.QOV18829.1	75.8	747	181	0	1	747	1	747	0.0e+00	1263.1	19.1785409592126	-24.2825873094923	3.01702638629535e-13
SRR11927437|k99_7623_10	GH2.ADY34049.1	68.6	1030	320	2	1	1028	1	1029	0.0e+00	1546.6	39.0844035961478	18.9444785312591	3.41143436639057e-13
SRR11927449|k99_2451_8	WP_066402067.1	75.4	710	174	1	3	711	2	711	0.0e+00	1140.2	21.0756164203346	24.0162639053472	3.51913802581142e-13
SRR11927460|k99_2403_39	GH3.UVR10884.1	44.5	542	265	6	5	511	30	570	3.5e-120	431.8	18.2413893858351	-24.0568642711546	3.86670194340043e-13
SRR11927460|k99_1419_7	GH95.WAJ22571.1	72.2	713	196	1	1	713	1	711	0.0e+00	1122.5	17.5529819020765	-24.0449051592486	4.49788887556596e-13
SRR11927460|k99_5247_30	WP_100307226.1	47.8	381	194	3	27	403	21	400	8.5e-95	347.1	15.4179294830102	-23.9066744488823	4.9880399921041e-13
SRR11927460|k99_261_6	GH42.UOX58106.1	61.4	665	257	0	10	674	8	672	2.7e-266	917.1	14.864936273275	-23.8867693936575	5.85199964640663e-13
SRR11927460|k99_4038_8	GH2.AJG98227.1	41.1	613	319	12	7	599	2	592	1.8e-131	469.2	13.1053447131984	-23.5764804720831	9.63164525708239e-13
SRR11927449|k99_8480_3	AAO78901.1	66.5	517	168	1	1	512	1	517	9.2e-214	742.3	17.5850469586249	23.6788099464255	1.08756020824972e-12
