CDS	condition	species	bin	log2FoldChange	Sialic_protein	Identity	Query_coverage	Subject_coverage	Bitscore	Evalue
SRR10507666|k141_8503_105	cdipos	Phocaeicola vulgatus	SemiBin_49	6.64153102211054	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507654|k141_44032_55	cdipos	Phocaeicola vulgatus	SemiBin_49	5.76695926661126	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507659|k141_60954_130	cdipos	Phocaeicola vulgatus	SemiBin_49	5.68918468841154	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507655|k141_78968_29	cdipos	Phocaeicola vulgatus	SemiBin_49	5.6105106847934	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507659|k141_119869_31	cdipos	Phocaeicola massiliensis	bin.100	22.5064480795934	SIAE|SIAE_5042_bv	100.0	99.8	100.0	1047.3	9.2e-305
SRR10507662|k141_31291_22	diarrheacdineg	Escherichia coli	SemiBin_30	-5.98072721042277	kpsD|kpsD_12805_bv	100.0	99.8	99.8	1082.8	0.0
SRR10507663|k141_4446_4	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-12.7692434066004	kpsM|kpsM_209_bv	42.5	96.3	96.0	230.3	4.400000000000001e-59
SRR10507661|k141_8349_4	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-33.662244289222	kpsM|kpsM_209_bv	42.5	96.3	96.0	230.3	4.400000000000001e-59
SRR10507660|k141_31039_36	cdipos	Phocaeicola vulgatus	SemiBin_49	6.11740664015308	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507653|k141_62621_35	cdipos	Phocaeicola vulgatus	SemiBin_49	6.11617048616381	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507659|k141_54308_13	cdipos	Phocaeicola vulgatus	SemiBin_49	6.07943468141569	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507655|k141_87272_24	cdipos	Phocaeicola vulgatus	SemiBin_49	6.01390926517249	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507665|k141_28219_36	cdipos	Phocaeicola vulgatus	SemiBin_49	5.97671204212948	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507666|k141_19524_27	cdipos	Phocaeicola vulgatus	SemiBin_49	5.8121735298341	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507663|k141_331_8	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-14.0282530343412	nagA|nagA_88277_bv	100.0	99.7	100.0	782.3	4.3000000000000004e-225
SRR10507661|k141_14765_6	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-15.9445105969767	nagA|nagA_88277_bv	100.0	99.7	100.0	782.3	4.3000000000000004e-225
SRR10507663|k141_5963_45	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-13.5138809334165	nagB|nagB_190441_bv	100.0	99.6	91.7	459.5	3.9e-128
SRR10507661|k141_9745_46	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-13.7918657234621	nagB|nagB_190441_bv	100.0	99.6	91.7	459.5	3.9e-128
SRR10507658|k141_34639_18	cdipos	Phocaeicola vulgatus	SemiBin_49	6.1493906354101	nagB|nagB_74529_bv	99.6	99.6	100.0	537.7	1.3e-151
SRR10507654|k141_90765_29	cdipos	Phocaeicola massiliensis	bin.100	21.6590863307182	nagB|nagB_9212_bv	100.0	99.6	100.0	541.6	8.7e-153
SRR10507663|k141_2018_67	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-15.9085933528979	nanE|nanE_26011_bv	100.0	99.6	93.4	437.2	2e-121
SRR10507661|k141_20902_22	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-16.3473344270263	nanE|nanE_26011_bv	100.0	99.6	93.4	437.2	2e-121
SRR10507659|k141_2390_14	control	Phocaeicola massiliensis	SemiBin_113	22.8834114671375	nanH|nanH_4619_bv	99.8	78.4	100.0	907.1	1.7e-262
SRR10507654|k141_65043_2	control	Phocaeicola massiliensis	SemiBin_113	22.815907459142	nanH|nanH_4619_bv	99.8	78.4	100.0	907.1	1.7e-262
SRR10507663|k141_15683_42	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-13.930089596967	nanK|nanK_1618_bv	40.0	97.5	98.4	193.0	9.300000000000001e-48
SRR10507661|k141_10409_38	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-14.755639611791	nanK|nanK_1618_bv	40.0	97.5	98.4	193.0	9.300000000000001e-48
SRR10507661|k141_10280_52	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	-14.3994914134383	nanK|nanK_30939_bv	98.3	79.3	100.0	471.9	9.5e-132
