Gene	log2FoldChange	MAG_protein	Sialic_hit	Identity	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
SRR10507666|k141_3934_23	36.7326455370258	CDIpos_DASTool_bins_bin.100|k141_117059_2	nanU|nanU_38453_bv	54.6	96.7	95.6	2.3e-174	614.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507658|k141_2827_50	35.9937007553752	CDIpos_DASTool_bins_bin.2|k141_126378_50	satB|MBM3693078.1	40.0	97.5	99.4	1.2e-55	219.2	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_64_542	35.7412281743343	CDIpos_DASTool_bins_bin.2|k141_40710_32	siaT|siaT_3434_uniprot	100.0	99.8	100.0	3.7e-209	729.6	CDIpos	bin.2	Escherichia coli
SRR10507661|k141_8349_4	-33.662244289222	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_14110_4	kpsM|kpsM_209_bv	42.5	96.3	96.0	4.4e-59	230.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507658|k141_14628_8	30.9642880523961	CDIpos_DASTool_bins_bin.2|k141_90233_8	satB|MFN4189717.1	43.8	95.0	96.4	1.8e-65	251.9	CDIpos	bin.2	Escherichia coli
SRR10507659|k141_35572_2	29.4418908681729	CDIpos_DASTool_bins_bin.100|k141_117059_2	nanU|nanU_38453_bv	54.6	96.7	95.6	2.3e-174	614.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507658|k141_15461_8	29.3914036283304	CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_14628_11	26.1650703071842	CDIpos_DASTool_bins_bin.2|k141_90233_11	satD|WP_022922052.1	47.9	79.3	92.8	2.5e-58	228.0	CDIpos	bin.2	Escherichia coli
SRR10507655|k141_93115_2	21.7074214417696	control_DASTool_bins_SemiBin_185|k141_174884_44	nanU|nanU_645800_bv	99.6	99.8	99.4	0.0e+00	1076.6	control	SemiBin_185	Parabacteroides distasonis
SRR10507658|k141_13788_82	21.8274849180326	control_DASTool_bins_SemiBin_185|k141_256763_83	nanU|nanU_481889_bv	100.0	99.8	99.8	0.0e+00	1110.1	control	SemiBin_185	Parabacteroides distasonis
SRR10507666|k141_40091_33	25.2751124737871	CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_33	23.6341916015129	CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_64_543	25.2912761623273	CDIpos_DASTool_bins_bin.2|k141_40710_33	siaQ|siaQ_46_uniprot	46.3	96.8	91.2	5.5e-30	132.9	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_15094_142	24.4729855757623	CDIpos_DASTool_bins_bin.2|k141_40710_33	siaQ|siaQ_46_uniprot	46.3	96.8	91.2	5.5e-30	132.9	CDIpos	bin.2	Escherichia coli
SRR10507659|k141_49275_2	22.9738542441867	CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507654|k141_23981_5	22.8199523860512	CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507654|k141_17993_91	22.6060578687887	CDIpos_DASTool_bins_bin.100|k141_58618_92	nanU|nanU_42577_bv	77.3	99.8	99.8	4.6e-249	862.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507656|k141_32052_20	21.4746424167059	CDIpos_DASTool_bins_SemiBin_49|k141_88759_7	nanU|nanU_256107_bv	40.8	98.8	99.8	5.2e-102	374.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
SRR10507658|k141_15094_143	23.2806149229976	CDIpos_DASTool_bins_bin.2|k141_40710_32	siaT|siaT_3434_uniprot	100.0	99.8	100.0	3.7e-209	729.6	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_32	23.5892714008515	CDIpos_DASTool_bins_bin.2|k141_48864_19	siaQ|siaQ_3733_bv	100.0	99.4	100.0	9.6e-86	318.2	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_11379_230	23.4196912022112	CDIpos_DASTool_bins_bin.2|k141_138055_37	nanQ|nanQ_4_bv	100.0	99.4	100.0	6.0e-85	315.5	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_18488_8	22.4142724528054	CDIpos_DASTool_bins_bin.2|k141_140806_6	satD|WP_249736668.1	40.2	89.2	82.5	2.5e-32	141.4	CDIpos	bin.2	Escherichia coli
SRR10507654|k141_65043_2	22.815907459142	control_DASTool_bins_SemiBin_113|k141_253097_2	nanH|nanH_4619_bv	99.8	78.4	100.0	1.7e-262	907.1	control	SemiBin_113	Phocaeicola massiliensis
SRR10507659|k141_2390_14	22.8834114671375	control_DASTool_bins_SemiBin_113|k141_253097_2	nanH|nanH_4619_bv	99.8	78.4	100.0	1.7e-262	907.1	control	SemiBin_113	Phocaeicola massiliensis
SRR10507666|k141_18311_28	22.5635625101859	CDIpos_DASTool_bins_bin.2|k141_90233_8	satB|MFN4189717.1	43.8	95.0	96.4	1.8e-65	251.9	CDIpos	bin.2	Escherichia coli
SRR10507655|k141_12089_1	21.0987975373533	control_DASTool_bins_SemiBin_185|k141_97862_2	nanU|nanU_500862_bv	41.0	96.4	96.8	1.4e-96	355.9	control	SemiBin_185	Parabacteroides distasonis
SRR10507659|k141_97205_88	22.6721407150968	CDIpos_DASTool_bins_bin.100|k141_58618_95	nanU|nanU_256145_bv	98.9	99.8	99.4	0.0e+00	1130.2	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507666|k141_13138_3	22.5656851478994	CDIpos_DASTool_bins_bin.100|k141_19384_3	nanU|nanU_428403_bv	69.7	98.8	99.4	6.2e-208	725.7	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507666|k141_3934_27	22.4558787118298	CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507666|k141_12471_61	22.0058219393889	CDIpos_DASTool_bins_bin.2|k141_138055_37	nanQ|nanQ_4_bv	100.0	99.4	100.0	6.0e-85	315.5	CDIpos	bin.2	Escherichia coli
SRR10507659|k141_97205_5	22.1612880593171	CDIpos_DASTool_bins_bin.100|k141_71887_43	nanM|nanM_3259_bv	44.9	90.8	93.8	1.1e-71	272.7	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507659|k141_119869_31	22.5064480795934	CDIpos_DASTool_bins_bin.100|k141_136543_12	SIAE|SIAE_5042_bv	100.0	99.8	100.0	9.2e-305	1047.3	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507660|k141_53655_10	19.7694430800013	CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507654|k141_69886_27	21.9461681098052	CDIpos_DASTool_bins_bin.100|k141_122120_8	nanU|nanU_460596_bv	43.8	99.2	98.4	3.2e-108	394.4	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507654|k141_27316_3	22.2409079834823	CDIpos_DASTool_bins_bin.100|k141_19384_3	nanU|nanU_428403_bv	69.7	98.8	99.4	6.2e-208	725.7	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507665|k141_57414_10	19.7320164021432	CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507654|k141_90765_29	21.6590863307182	CDIpos_DASTool_bins_bin.100|k141_136543_14	nagB|nagB_9212_bv	100.0	99.6	100.0	8.7e-153	541.6	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507660|k141_22279_21	19.9080870102987	CDIpos_DASTool_bins_SemiBin_9_sub|k141_107608_6	nanU|nanU_554903_bv	53.7	97.4	97.2	1.3e-166	588.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507657|k141_43039_93	21.5263044123122	control_DASTool_bins_SemiBin_185|k141_97862_2	nanU|nanU_500862_bv	41.0	96.4	96.8	1.4e-96	355.9	control	SemiBin_185	Parabacteroides distasonis
