Assembly	SRR11927434_final.contigs	SRR11927435_final.contigs	SRR11927436_final.contigs	SRR11927437_final.contigs	SRR11927438_final.contigs	SRR11927439_final.contigs	SRR11927440_final.contigs	SRR11927441_final.contigs	SRR11927442_final.contigs	SRR11927443_final.contigs	SRR11927444_final.contigs	SRR11927445_final.contigs	SRR11927446_final.contigs	SRR11927447_final.contigs	SRR11927448_final.contigs	SRR11927449_final.contigs	SRR11927450_final.contigs	SRR11927451_final.contigs	SRR11927452_final.contigs	SRR11927453_final.contigs	SRR11927454_final.contigs	SRR11927455_final.contigs	SRR11927456_final.contigs	SRR11927457_final.contigs	SRR11927458_final.contigs	SRR11927459_final.contigs	SRR11927460_final.contigs	SRR11927461_final.contigs	SRR11927462_final.contigs	SRR11927463_final.contigs
# contigs (>= 0 bp)	24081	45900	27207	20212	32511	35547	21545	19953	22638	29182	17744	3662	40977	23293	18326	13776	12204	35747	10041	9625	8918	11765	19769	8254	19460	18262	7345	10816	31785	36357
# contigs (>= 1000 bp)	4700	8990	3760	3669	4381	4409	3457	2991	2130	2535	2537	1161	4404	5380	4277	1338	1087	3865	3374	3133	3133	3125	2571	3369	4116	3301	1379	2928	6774	6810
# contigs (>= 5000 bp)	709	363	457	497	311	394	743	433	15	86	386	127	16	935	230	499	64	214	462	627	224	618	264	535	207	304	224	285	707	641
# contigs (>= 10000 bp)	230	37	88	194	112	164	274	155	2	9	176	99	2	330	92	289	7	33	116	217	34	322	134	235	20	92	155	120	150	153
# contigs (>= 25000 bp)	35	0	5	29	12	51	20	27	0	2	26	59	0	34	4	58	0	1	6	49	1	64	64	22	1	9	66	58	5	38
# contigs (>= 50000 bp)	2	0	0	6	1	10	1	7	0	0	0	29	0	2	0	5	0	0	1	4	0	6	18	3	0	0	16	32	0	10
Total length (>= 0 bp)	24559233	36516037	21298013	19550789	23542848	27167291	21394783	17734166	12012278	17241465	15452010	7944774	24424882	27293472	16489595	14154073	7480596	22964160	13707593	15949113	10438827	17399899	17077833	14409780	16403473	15800660	9666127	14779032	30041331	32714541
Total length (>= 1000 bp)	15583444	18072904	10676047	11922100	9946312	12354759	13274611	9872579	3476514	4788917	8583471	6611794	6882631	18797465	9381654	8778592	2482316	8032422	10206104	12833410	7429290	12881639	9036341	11705569	8690430	8789102	6636799	10570578	17874885	18630530
Total length (>= 5000 bp)	7278562	2638079	3746145	5616772	3246348	5410003	7574611	4923348	118894	659235	4424644	4791023	112401	9603476	2383686	7003326	464718	1690558	4029446	7028156	1694211	8309013	4893934	6057629	1464918	2955428	4716840	5716936	5880937	6427574
Total length (>= 10000 bp)	4026221	491918	1289635	3508013	1851802	3806664	4310038	3010497	34508	168465	2971299	4598823	28402	5414174	1443593	5513707	78156	481392	1713041	4186665	463029	6221950	4001081	3953684	248662	1553943	4214555	4615034	2084074	3204396
Total length (>= 25000 bp)	1114351	0	156077	1129710	378708	2066589	627637	1130990	0	87116	805083	3973242	0	1125581	118417	1950497	0	43092	189695	1721352	29902	2323812	2800284	797353	25263	293950	2740950	3677625	148806	1564291
Total length (>= 50000 bp)	117358	0	0	370424	54172	689150	51529	461689	0	0	0	2924813	0	107340	0	313478	0	0	54172	226803	0	404726	1180273	213814	0	0	1000150	2746199	0	580204
# contigs	10512	23594	10324	8573	14357	14843	8277	8151	7191	10922	6655	2346	17049	11235	9901	4179	4128	14029	6361	5330	5658	7049	8037	5888	10280	7954	3862	6725	15798	16757
Largest contig	60610	21969	38037	79191	54172	137346	51529	82503	23733	46788	49731	187879	17580	57282	34896	79102	12273	43092	54172	63313	29902	95731	111447	80102	25263	39661	78617	261680	33888	83770
Total length	19494401	28087526	15006774	15233763	16708628	19384967	16467618	13338728	6909821	10388089	11340771	7446882	15436728	22782962	13315999	10613202	4470546	14853152	12300480	14330118	9211052	15595089	12666869	13507519	12940078	11937302	8346019	13211316	24011755	25351634
GC (%)	47.94	49.21	49.48	49.90	51.51	51.17	47.97	48.10	45.91	49.84	40.20	38.82	49.34	44.94	45.72	44.65	46.94	47.62	40.82	43.97	46.12	43.85	41.72	42.94	47.75	42.17	39.48	46.42	48.55	50.52
N50	3172	1354	2207	2896	1231	1497	4302	2685	1006	931	2840	28139	919	3731	1554	10619	1192	1093	3107	4935	2092	6118	2371	4005	1486	2081	10186	3231	2165	2140
N90	675	601	596	661	579	586	667	626	566	552	632	945	556	727	640	668	557	564	766	970	734	746	604	870	614	627	696	713	637	627
auN	6732.9	2214.4	3950.9	7791.9	3848.4	8334.1	7150.5	8437.9	1428.2	1970.8	7157.3	52090.5	1230.9	7114.6	3658.9	14004.6	2216.7	2348.2	5128.0	9873.2	3287.1	11856.2	14173.7	8453.4	2382.9	4678.2	19278.1	27042.0	3851.5	5980.4
L50	1333	5503	1601	1032	2939	2195	886	912	2109	2955	719	50	5277	1351	2071	269	861	3285	1002	655	1177	525	713	691	2280	1308	151	511	2645	2653
L90	7114	18458	7562	5895	11246	11252	5391	5750	5892	8941	4620	1255	14121	7406	7540	2313	3280	11227	4363	3198	4140	4471	5718	3854	7941	5804	2438	4505	11523	12207
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
