ID	Cluster
sp|B2UL12.1|GLAA_AKKM8	GH110
ACD04318.1	GH110
sp|Q89ZX0.1|GLAB_BACTN	GH110
GH110.QTO27409.1	GH110
GH110.QWG10618.1	GH110
GH110.QWG10620.1	GH110
GH110.QZO75649.1	GH110
GH110.ATP59319.1	GH110
GH110.AUC20691.1	GH110
GH110.AZQ63949.1	GH110
GH110.AZQ63951.1	GH110
GH110.VEH16497.1	GH110
GH110.WJK50180.1	GH110
GH110.WKB80514.1	GH110
GH110.WPJ97089.1	GH110
GH110.BDF63221.1	GH110
GH110.CDT18192.1	GH110
GH110.CEA16339.1	GH110
GH110.QEC79653.1	GH110
GH110.QEM10491.1	GH110
GH110.VEJ18503.1	GH110
GH110.WJH30188.1	GH110
GH110.WJK48995.1	GH110
GH110.WMS08845.1	GH110
GH110.WPU92329.1	GH110
GH110.WPX41422.1	GH110
GH110.WZN45494.1	GH110
GH110.WZN57711.1	GH110
GH110.ANQ51615.1	GH110
GH110.ANQ62264.1	GH110
GH110.AVM54153.1	GH110
GH110.AVM57209.1	GH110
GH110.BBD44376.1	GH110
GH110.QJD86821.1	GH110
GH110.QOT12630.1	GH110
GH110.QOY89544.1	GH110
GH110.QTO26521.1	GH110
GH110.QJE96647.1	GH110
GH110.QOD61757.1	GH110
GH110.QOS82663.1	GH110
GH110.WRI29389.1	GH110
GH110.WRY41476.1	GH110
GH110.WZX24070.1	GH110
GH110.XID31536.1	GH110
GH110.UVQ97162.1	GH110
GH110.CAL1518965.1	GH110
GH110.CAZ96355.1	GH110
GH110.QCQ52772.1	GH110
GH110.AVM50150.1	GH110
GH110.AVM54064.1	GH110
GH110.BDF46835.1	GH110
GH110.SDT34056.1	GH110
GH110.USK36653.1	GH110
GH110.UPZ35741.1	GH110
GH110.CAZ96356.1	GH110
GH110.QIQ02210.1	GH110
GH110.QIU94640.1	GH110
GH110.QNP56149.1	GH110
GH110.UVR03047.1	GH110
GH110.UVR07205.1	GH110
GH110.QTN33916.1	GH110
GH110.QWG05381.1	GH110
GH110.QWG10387.1	GH110
GH110.QWP68719.1	GH110
GH110.QWP69603.1	GH110
GH110.BBI31508.1	GH110
GH110.BFO75177.1	GH110
GH110.BFO76827.1	GH110
GH110.QLG41549.1	GH110
GH110.QQD13083.1	GH110
GH110.QQD16170.1	GH110
GH110.UWP44873.1	GH110
GH110.XBM50049.1	GH110
GH110.XJV72034.1	GH110
GH110.XKC25381.1	GH110
GH110.QHI39267.1	GH110
GH110.QQR09367.1	GH110
GH110.WMQ63903.1	GH110
GH110.UYU35661.1	GH110
GH110.UYU35672.1	GH110
GH110.WOG13128.1	GH110
GH110.ASQ94414.1	GH110
GH110.ATA69144.1	GH110
GH110.AWV99802.1	GH110
GH110.BDE91232.1	GH110
GH110.XDS94036.1	GH110
GH110.XKQ85274.1	GH110
GH110.ARS42846.1	GH110
GH110.ASF43781.1	GH110
GH110.AWG23709.1	GH110
GH110.BBL01922.1	GH110
GH110.WZL81920.1	GH110
GH110.WZL82324.1	GH110
GH110.UZO82212.1	GH110
GH110.WPR71348.1	GH110
GH110.WPR71394.1	GH110
GH110.XGZ03844.1	GH110
GH110.UMB61719.1	GH110
GH110.UMB61738.1	GH110
GH110.UVI28796.1	GH110
GH110.ANW96234.1	GH110
GH110.BAX79075.1	GH110
GH110.BAX79092.1	GH110
GH110.AIQ25439.1	GH110
GH110.ARD46000.1	GH110
GH110.UOX62498.1	GH110
GH110.UPK46074.1	GH110
GH110.UVS50665.1	GH110
GH110.UXX80073.1	GH110
GH110.UXX81096.1	GH110
GH110.EDY94243.1	GH110
GH110.QBG46454.1	GH110
GH110.QCX40476.1	GH110
GH110.QUT74394.1	GH110
GH110.WRI29384.1	GH110
GH110.XAE57166.1	GH110
GH110.UAM97152.1	GH110
GH110.UNY98974.1	GH110
GH110.UOE46302.1	GH110
GH110.QGY42333.1	GH110
GH110.SEH88108.1	GH110
GH110.ULB35302.1	GH110
GH110.ULQ51003.1	GH110
GH110.WKX78369.1	GH110
GH110.WKX78370.1	GH110
GH110.WOO40623.1	GH110
GH110.ADV44857.1	GH110
GH110.QDV61916.1	GH110
GH110.QJD87108.1	GH110
GH110.SDR70467.1	GH110
GH110.SDS24258.1	GH110
GH110.QKJ63406.1	GH110
GH110.QTH41675.1	GH110
GH110.AVM57885.1	GH110
GH110.AWG23284.1	GH110
GH110.BCI61929.1	GH110
GH110.WSE03368.1	GH110
GH110.QQT46209.1	GH110
GH110.QUI22251.1	GH110
GH110.QQL44278.1	GH110
GH110.QQM38508.1	GH110
GH110.WFE85539.1	GH110
GH110.WNS46714.1	GH110
GH110.QUT74399.1	GH110
GH110.WBU89741.1	GH110
GH110.WDQ35567.1	GH110
GH110.WLT43325.1	GH110
GH110.QGQ98201.1	GH110
GH110.QNK55027.1	GH110
GH110.QRM89490.1	GH110
GH110.AHW58655.1	GH110
GH110.APU11042.1	GH110
GH110.APU12054.1	GH110
GH110.XKH47994.1	GH110
GH110.QNK58785.1	GH110
GH110.QRO24974.1	GH110
GH110.ATA80422.1	GH110
GH110.AZN43092.1	GH110
GH110.BDI28450.1	GH110
GH110.BDI30308.1	GH110
GH110.XDS93542.1	GH110
GH110.QIH37183.1	GH110
GH110.QIL42084.1	GH110
GH110.QNL40048.1	GH110
GH110.ANQ47442.1	GH110
GH110.ATP55709.1	GH110
GH110.BAR48709.1	GH110
GH110.QTH41320.1	GH110
GH110.QVY65577.1	GH110
GH110.QVY67616.1	GH110
GH110.QBJ74102.1	GH110
GH110.QCJ45547.1	GH110
GH110.AYB34728.1	GH110
GH110.BCI63983.1	GH110
GH110.WHY18139.1	GH110
GH110.QUE51756.1	GH110
GH110.SDS92375.1	GH110
GH110.AZQ63778.1	GH110
GH110.AZQ63917.1	GH110
GH110.BCI63973.1	GH110
GH110.BCI63976.1	GH110
GH110.UBU09079.1	GH110
GH110.UXX92414.1	GH110
GH110.UYO06681.1	GH110
GH110.UVP82659.1	GH110
GH110.BDE81760.1	GH110
GH110.CAI9428650.1	GH110
GH110.CAJ90659.1	GH110
GH110.QCX53829.1	GH110
GH110.QDE03681.1	GH110
GH110.QQD11966.1	GH110
GH110.QTD37644.1	GH110
GH110.QUT88108.1	GH110
GH110.UVP53266.1	GH110
GH110.WOX08073.1	GH110
GH110.UBD59909.1	GH110
GH110.WBJ94068.1	GH110
GH110.WKN41441.1	GH110
GH110.UMB54050.1	GH110
GH110.XFF71222.1	GH110
GH110.BDI73384.1	GH110
GH110.BEG97818.1	GH110
GH110.QBG46664.1	GH110
GH110.QBJ17920.1	GH110
GH110.QHI39251.1	GH110
GH110.XGA84250.1	GH110
GH110.XKQ18232.1	GH110
GH110.UVV81437.1	GH110
GH110.WBJ97684.1	GH110
GH110.UWN57113.1	GH110
GH110.UYU50543.1	GH110
GH110.WAC12546.1	GH110
GH110.UZO82216.1	GH110
GH110.WFE86328.1	GH110
GH110.WGQ10525.1	GH110
GH110.WOD43878.1	GH110
GH110.ALO47723.1	GH110
GH110.ATA90424.1	GH110
GH110.BAC74979.1	GH110
GH110.QRM89500.1	GH110
GH110.QUO31546.1	GH110
GH110.ANW96211.1	GH110
GH110.QWG10748.1	GH110
GH110.SCM59766.1	GH110
GH110.UBD73684.1	GH110
GH110.BFR79275.1	GH110
GH110.QIA08887.1	GH110
GH110.QIG39443.1	GH110
GH110.WWV65903.1	GH110
GH110.UAM98313.1	GH110
GH110.UNY97234.1	GH110
GH110.SNV12619.1	GH110
GH110.SOU43263.1	GH110
GH110.UWN66699.1	GH110
GH110.UWN66700.1	GH110
GH110.UYV02174.1	GH110
GH110.SEI01258.1	GH110
GH110.UXX78104.1	GH110
GH110.UVQ44740.1	GH110
GH110.UWN63778.1	GH110
GH110.QOD60716.1	GH110
GH110.AHF14720.1	GH110
GH110.ANQ48840.1	GH110
GH110.UVQ45137.1	GH110
GH110.UVQ45500.1	GH110
GH110.SYX81762.1	GH110
GH110.VEG17902.1	GH110
WP_157738256.1	sulfatases
AAO78215.1	sulfatases
AAO78283.1	sulfatases
AAO78593.1	sulfatases
AAO78901.1	sulfatases
AAO79736.1	sulfatases
AAO79788.1	sulfatases
WP_012419181.1	sulfatases
WP_012419504.1	sulfatases
WP_012419544.1	sulfatases
sp|Q9L5W0|Q9L5W0_9BACT	sulfatases
WP_012420115.1	sulfatases
AAO76729.1	sulfatases
AAO76731.1	sulfatases
AAO76735.1	sulfatases
AAO76743.1	sulfatases
AAO77025.1	sulfatases
Ccan_17490	sulfatases
AAO78163.1	sulfatases
WP_068544294.1	sulfatases
WP_010404799.1	sulfatases
WP_128437356.1	sulfatases
WP_043629065.1	sulfatases
WP_013991722.1	sulfatases
WP_126616977.1	sulfatases
WP_159276037.1	sulfatases
WP_111624817.1	sulfatases
WP_126618585.1	sulfatases
WP_146369537.1	sulfatases
WP_166521613.1	sulfatases
WP_198944439.1	sulfatases
WP_169303327.1	sulfatases
WP_235314369.1	sulfatases
WP_231970200.1	sulfatases
WP_236959588.1	sulfatases
WP_236973527.1	sulfatases
WP_250930280.1	sulfatases
WP_273952948.1	sulfatases
WP_289999687.1	sulfatases
WP_236974559.1	sulfatases
WP_271080476.1	sulfatases
WP_343329215.1	sulfatases
WP_345005950.1	sulfatases
WP_377171541.1	sulfatases
WP_377171918.1	sulfatases
WP_345023907.1	sulfatases
WP_377185013.1	sulfatases
WP_345276428.1	sulfatases
WP_046367687.1	sulfatases
WP_079641438.1	sulfatases
WP_090119332.1	sulfatases
WP_090119391.1	sulfatases
WP_085496881.1	sulfatases
WP_109264961.1	sulfatases
WP_109265289.1	sulfatases
WP_133557169.1	sulfatases
WP_132115196.1	sulfatases
WP_132115198.1	sulfatases
WP_136065975.1	sulfatases
WP_136078697.1	sulfatases
WP_136078719.1	sulfatases
WP_136081311.1	sulfatases
WP_142715000.1	sulfatases
WP_144842599.1	sulfatases
WP_142811753.1	sulfatases
WP_148747708.1	sulfatases
WP_146371902.1	sulfatases
WP_146393994.1	sulfatases
WP_156180569.1	sulfatases
WP_160845061.1	sulfatases
WP_168022224.1	sulfatases
WP_189563602.1	sulfatases
WP_189563863.1	sulfatases
WP_189590308.1	sulfatases
WP_200311319.1	sulfatases
WP_234042012.1	sulfatases
WP_242631226.1	sulfatases
WP_274365834.1	sulfatases
WP_303305073.1	sulfatases
WP_332712625.1	sulfatases
WP_332715702.1	sulfatases
WP_341691968.1	sulfatases
WP_345684275.1	sulfatases
WP_377497022.1	sulfatases
WP_350962334.1	sulfatases
WP_435893595.1	sulfatases
WP_460957672.1	sulfatases
WP_018626137.1	sulfatases
WP_013563313.1	sulfatases
WP_002652599.1	sulfatases
WP_013564152.1	sulfatases
WP_035957875.1	sulfatases
WP_039963603.1	sulfatases
WP_018656702.1	sulfatases
WP_062262140.1	sulfatases
WP_062262740.1	sulfatases
WP_067146460.1	sulfatases
WP_082735205.1	sulfatases
WP_048694351.1	sulfatases
WP_082835919.1	sulfatases
WP_075078525.1	sulfatases
WP_082990229.1	sulfatases
WP_048922803.1	sulfatases
WP_115565059.1	sulfatases
WP_119594894.1	sulfatases
WP_092652966.1	sulfatases
WP_108358609.1	sulfatases
WP_145059669.1	sulfatases
WP_162442736.1	sulfatases
WP_145087374.1	sulfatases
WP_169455922.1	sulfatases
WP_145099895.1	sulfatases
WP_169455923.1	sulfatases
WP_145102285.1	sulfatases
WP_182461543.1	sulfatases
WP_172659427.1	sulfatases
WP_150074208.1	sulfatases
WP_165793825.1	sulfatases
WP_213298797.1	sulfatases
WP_206567541.1	sulfatases
WP_236970210.1	sulfatases
WP_229209624.1	sulfatases
WP_224496524.1	sulfatases
WP_236970433.1	sulfatases
WP_236979216.1	sulfatases
WP_236980481.1	sulfatases
WP_207973207.1	sulfatases
WP_282592838.1	sulfatases
WP_317901403.1	sulfatases
WP_318311612.1	sulfatases
WP_324774080.1	sulfatases
WP_344539886.1	sulfatases
WP_460514126.1	sulfatases
WP_439182758.1	sulfatases
WP_460937889.1	sulfatases
WP_002813144.1	sulfatases
WP_002999196.1	sulfatases
WP_072763202.1	sulfatases
WP_089020014.1	sulfatases
WP_103718545.1	sulfatases
WP_118862369.1	sulfatases
WP_119013486.1	sulfatases
WP_146683236.1	sulfatases
WP_146683237.1	sulfatases
WP_167185758.1	sulfatases
WP_207394511.1	sulfatases
WP_260796561.1	sulfatases
WP_245917141.1	sulfatases
WP_274313980.1	sulfatases
WP_274314155.1	sulfatases
WP_344789174.1	sulfatases
WP_377088384.1	sulfatases
WP_345245309.1	sulfatases
WP_415864433.1	sulfatases
WP_430817961.1	sulfatases
WP_283395763.1	sulfatases
WP_035360384.1	sulfatases
WP_050769376.1	sulfatases
WP_099155058.1	sulfatases
WP_139632737.1	sulfatases
WP_145169977.1	sulfatases
WP_145170799.1	sulfatases
WP_145218924.1	sulfatases
WP_145218952.1	sulfatases
WP_145231142.1	sulfatases
WP_154374807.1	sulfatases
WP_162342736.1	sulfatases
WP_163634622.1	sulfatases
WP_199114392.1	sulfatases
WP_195759314.1	sulfatases
WP_224118776.1	sulfatases
WP_232633373.1	sulfatases
WP_246112671.1	sulfatases
WP_250927500.1	sulfatases
