qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	baseMean	log2FoldChange	padj
SRR11927437|k99_7623_10	GH2.ADY34049.1	68.6	1030	320	2	1	1028	1	1029	0.0e+00	1546.6	39.0844035961478	24.1269892834295	4.91352138374475e-21
SRR11927434|k99_11644_2	GH31.UVQ04253.1	73.7	1290	332	3	3	1288	2	1288	0.0e+00	2003.8	44.6152100973936	24.2701094018093	1.84437578963388e-20
SRR11927463|k99_21669_6	GH31.UVQ04253.1	73.7	1290	332	3	3	1288	2	1288	0.0e+00	2003.8	43.11320103314	24.1793487495221	2.13438465292092e-20
SRR11927434|k99_18171_6	GH2.ADY34049.1	69.0	1021	313	2	2	1020	10	1029	0.0e+00	1543.5	37.0464580402944	24.1647085409063	4.24528534935606e-20
SRR11927463|k99_3023_6	GH2.QUT69940.1	70.2	1121	326	4	2	1115	4	1123	0.0e+00	1666.7	40.3123924136048	24.2613696841744	9.42663999058427e-20
SRR11927437|k99_18342_2	WP_245820198.1	54.3	674	306	2	33	704	21	694	6.9e-220	763.1	19.854851256716	23.2531046575255	2.37454594574831e-18
SRR11927434|k99_24055_1	GH2.QUT69940.1	70.2	1121	326	4	2	1115	4	1123	0.0e+00	1666.7	41.7417811717633	24.3250461558776	4.8321348465663e-18
SRR11927437|k99_22_7	GH2.QUT69940.1	70.1	1121	327	4	2	1115	4	1123	0.0e+00	1661.7	38.2134563379905	24.1906826602719	5.59646827516274e-18
SRR11927463|k99_32243_4	GH2.QBE95754.1	42.4	1073	551	13	1	1054	1	1025	2.5e-258	891.3	13.9984218843655	22.6862067191018	2.18951225512211e-17
SRR11927434|k99_14596_14	GH2.CBL02867.1	64.4	1035	351	6	1	1026	1	1027	0.0e+00	1415.6	27.9817186446177	23.7886014453353	2.84252268633735e-17
SRR11927452|k99_941_2	GH2.UWF34674.1	66.3	1020	338	2	1	1015	1	1019	0.0e+00	1445.3	9.03171930340821	-21.7953024896636	4.64682088823644e-17
SRR11927463|k99_21232_6	GH2.ADY34049.1	68.8	1030	318	2	1	1028	1	1029	0.0e+00	1548.5	36.5505973637436	24.1582165259429	2.25198386115231e-16
SRR11927462|k99_3220_21	GH2.QBE95754.1	42.5	1073	550	13	1	1054	1	1025	3.3e-258	891.0	13.9883512358767	22.7335057387283	6.64136717341382e-16
SRR11927448|k99_7393_1	GH31.UVQ04253.1	74.1	1287	332	1	3	1288	2	1288	0.0e+00	2010.0	38.0587377191803	21.0040225019804	1.87838233509749e-15
SRR11927440|k99_10140_1	GH31.BCJ98925.1	83.4	673	111	1	1	673	1	672	0.0e+00	1229.9	12.3312310427685	22.5278964214167	2.25628776489396e-15
SRR11927449|k99_13342_48	GH31.UVQ04253.1	74.2	1287	331	1	3	1288	2	1288	0.0e+00	2010.7	38.424013298388	20.6318819585301	3.05290060255442e-15
SRR11927450|k99_5303_2	GH31.UVQ04253.1	74.0	1287	333	1	3	1288	2	1288	0.0e+00	2007.3	40.8601879835462	20.8106980111197	4.31762526323716e-15
SRR11927434|k99_3813_19	GH2.BCK00272.1	58.9	875	300	7	1	875	1	815	0.0e+00	1082.4	16.7297485767568	22.6916997875698	6.7762216613052e-15
SRR11927462|k99_10897_1	GH31.QCU03644.1	74.5	663	168	1	1	662	1	663	0.0e+00	1076.6	10.3770862022749	21.7663416760249	6.89539933185582e-15
SRR11927437|k99_18342_1	WP_010266002.1	75.6	704	169	3	1	702	1	703	0.0e+00	1095.9	14.7067965186655	22.854089375179	9.50856697009229e-15
SRR11927460|k99_3627_23	GH31.WAJ26076.1	81.8	833	152	0	1	833	1	833	0.0e+00	1472.2	24.4937972521504	-23.9507325176013	1.30997590870587e-14
SRR11927439|k99_13854_5	WP_202856239.1	45.6	375	195	6	27	400	40	406	1.2e-96	352.8	13.8433595439917	22.7627756373769	2.18516369977135e-14
SRR11927462|k99_11060_3	WP_069156396.1	76.9	849	196	0	1	849	1	849	0.0e+00	1405.2	14.3347194165488	22.3276752186147	9.67775104386922e-14
SRR11927449|k99_1691_14	GH2.ADY34049.1	68.9	1030	317	2	1	1028	1	1029	0.0e+00	1545.8	37.2471146506592	19.4824591092949	1.37104797173364e-13
SRR11927462|k99_3322_4	GH2.AHF23795.1	52.7	847	381	9	1	841	1	833	7.1e-264	909.4	14.4967613095654	22.131971259843	2.10619363322882e-13
SRR11927448|k99_17686_17	GH36.CUA16889.1	68.2	718	225	3	3	719	4	719	3.1e-308	1056.6	20.9049134869433	18.942872051184	3.47545354272123e-13
SRR11927435|k99_22715_1	GH95.UBD66840.1	67.1	817	267	2	1	817	1	815	0.0e+00	1170.2	16.8431224942627	23.0541571906406	3.99973643850049e-13
SRR11927453|k119_4758_18	GH31.SET57319.1	88.6	1276	146	0	1	1276	1	1276	0.0e+00	2298.1	32.5805453191874	-23.9119552370066	5.20186265158892e-13
SRR11927460|k99_2209_2	GH2.SET94562.1	73.5	1018	266	1	1	1014	1	1018	0.0e+00	1622.8	21.784444734639	-23.8442234975369	5.6141767639063e-13
SRR11927460|k99_5951_12	GH2.SET68766.1	76.9	1007	231	1	1	1007	1	1005	0.0e+00	1686.4	21.9560386883419	-23.8164694588339	5.86792240977964e-13
SRR11927445|k99_1819_2	GH31.SET57319.1	88.6	1276	146	0	1	1276	1	1276	0.0e+00	2298.1	32.6977158404204	-23.8842988942328	5.92299589672742e-13
SRR11927461|k99_8889_3	GH31.SET57305.1	90.8	991	91	0	1	991	1	991	0.0e+00	1863.2	25.188382010362	-23.4474842233537	5.94052315888041e-13
SRR11927450|k99_10174_1	GH2.ADY34049.1	68.7	1030	319	2	1	1028	1	1029	0.0e+00	1541.9	36.2287541326891	18.6893274651478	6.93350010026856e-13
SRR11927460|k99_2413_16	GH36.QEI32555.1	57.2	743	309	2	1	736	1	741	1.3e-261	901.7	20.6257649636168	-23.7514703883617	7.50286869926547e-13
