Gene	log2FoldChange	MAG_protein	Sialic_hit	Identity	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
SRR10507663|k141_2018_67	30	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_1019_22	nanE|nanE_26011_bv	100.0	99.6	93.4	2.0e-121	437.2	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507663|k141_7482_2	30	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507661|k141_10280_52	30	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_47025_16	nanK|nanK_30939_bv	98.3	79.3	100.0	9.5e-132	471.9	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507661|k141_8349_4	30	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_14110_4	kpsM|kpsM_209_bv	42.5	96.3	96.0	4.4e-59	230.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507662|k141_13867_69	23.1742297915681	diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507662|k141_44351_214	21.4741572143905	diarrheaCDIneg_DASTool_bins_SemiBin_60|k141_20223_153	nanR|nanR_1411_uniprot	43.8	98.8	98.8	6.6e-114	413.3	diarrheaCDIneg	SemiBin_60	Enterocloster bolteae
SRR10507662|k141_38285_64	23.2146750212448	diarrheaCDIneg_DASTool_bins_bin.5|k141_15269_162	nanU|nanU_291680_bv	42.8	99.0	98.2	1.1e-116	422.5	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507655|k141_93115_2	-19.988692319598	control_DASTool_bins_SemiBin_185|k141_174884_44	nanU|nanU_645800_bv	99.6	99.8	99.4	0.0e+00	1076.6	control	SemiBin_185	Parabacteroides distasonis
SRR10507658|k141_13788_82	-20.2690568605911	control_DASTool_bins_SemiBin_185|k141_256763_83	nanU|nanU_481889_bv	100.0	99.8	99.8	0.0e+00	1110.1	control	SemiBin_185	Parabacteroides distasonis
SRR10507660|k141_52838_87	22.400908070487	diarrheaCDIneg_DASTool_bins_bin.5|k141_63869_68	nanU|nanU_45837_bv	73.6	99.8	100.0	8.2e-246	851.7	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507665|k141_51859_58	22.1104549052141	CDIpos_DASTool_bins_bin.71|k141_78823_12	nanU|nanU_291680_bv	42.6	99.0	98.2	1.2e-115	419.1	CDIpos	bin.71	Parabacteroides distasonis
SRR10507658|k141_3147_40	20.8203932219492	CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
SRR10507666|k141_18488_53	22.2221242398462	CDIpos_DASTool_bins_bin.2|k141_140806_51	ompF|ompF_6607_bv	100.0	99.7	97.4	3.2e-217	756.1	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_48623_95	23.0360226309748	CDIpos_DASTool_bins_bin.2|k141_127706_115	satD|WP_115412169.1	40.0	84.6	75.4	4.1e-32	140.6	CDIpos	bin.2	Escherichia coli
SRR10507662|k141_51282_25	21.8664548174481	CDIpos_DASTool_bins_bin.71|k141_92792_5	nanQ|nanQ_634_uniprot	100.0	99.3	100.0	3.2e-83	309.7	CDIpos	bin.71	Parabacteroides distasonis
SRR10507656|k141_32052_20	-21.2771197340789	CDIpos_DASTool_bins_SemiBin_49|k141_88759_7	nanU|nanU_256107_bv	40.8	98.8	99.8	5.2e-102	374.0	CDIpos	SemiBin_49	Phocaeicola vulgatus
SRR10507660|k141_48859_76	22.6233127531335	diarrheaCDIneg_DASTool_bins_bin.5|k141_66635_7	nanU|nanU_44722_bv	99.4	97.2	100.0	3.9e-301	1035.4	diarrheaCDIneg	bin.5	Parabacteroides distasonis
SRR10507666|k141_12523_41	20.7544599416551	CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
SRR10507658|k141_3147_41	20.3710520978439	CDIpos_DASTool_bins_bin.2|k141_97161_4	siaQ|siaQ_388033_bv	100.0	99.4	97.7	1.1e-81	304.7	CDIpos	bin.2	Escherichia coli
SRR10507663|k141_15683_42	17.3451951093724	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_9293_37	nanK|nanK_1618_bv	40.0	97.5	98.4	9.3e-48	193.0	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507660|k141_22279_21	-20.1394143319626	CDIpos_DASTool_bins_SemiBin_9_sub|k141_107608_6	nanU|nanU_554903_bv	53.7	97.4	97.2	1.3e-166	588.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507666|k141_12523_43	20.4004066592971	CDIpos_DASTool_bins_bin.2|k141_97161_3	siaM|siaM_3328_bv	100.0	99.8	100.0	1.8e-227	790.4	CDIpos	bin.2	Escherichia coli
SRR10507660|k141_53655_10	-19.2429089786997	CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507665|k141_57414_10	-19.2041166240238	CDIpos_DASTool_bins_SemiBin_9_sub|k141_125427_2	nanU|nanU_140524_bv	49.4	97.5	99.0	3.2e-127	457.6	CDIpos	SemiBin_9_sub	Bacteroides salyersiae
SRR10507661|k141_14765_6	17.7812867186279	diarrheaCDIneg_DASTool_bins_SemiBin_28|k141_13021_6	nagA|nagA_88277_bv	100.0	99.7	100.0	4.3e-225	782.3	diarrheaCDIneg	SemiBin_28	Enterococcus_B faecium
SRR10507659|k141_10529_42	-21.3676021445446	CDIpos_DASTool_bins_SemiBin_49|k141_107464_31	nanU|nanU_298447_bv	98.2	99.8	100.0	0.0e+00	1124.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
SRR10507666|k141_612_42	-21.3319825910483	CDIpos_DASTool_bins_SemiBin_49|k141_107464_31	nanU|nanU_298447_bv	98.2	99.8	100.0	0.0e+00	1124.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
SRR10507659|k141_49275_2	-20.2102481902107	CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
SRR10507657|k141_23247_62	-21.2980702677542	CDIpos_DASTool_bins_SemiBin_49|k141_107464_31	nanU|nanU_298447_bv	98.2	99.8	100.0	0.0e+00	1124.4	CDIpos	SemiBin_49	Phocaeicola vulgatus
SRR10507654|k141_23981_5	-20.1680382459693	CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
