CDS	condition	species	bin	log2FoldChange	Sialic_protein	Identity	Query_coverage	Subject_coverage	Bitscore	Evalue
SRR10507654|k141_44032_55	cdipos	Phocaeicola vulgatus	SemiBin_49	-5.89324123560965	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507666|k141_8503_105	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.2053874262737	SIAE|SIAE_19013_uniprot	98.9	70.8	99.2	727.6	1.5999999999999999e-208
SRR10507662|k141_18912_115	diarrheacdineg	Phocaeicola dorei	bin.6	8.1919924682629	SIAE|SIAE_20500_uniprot	99.6	99.6	100.0	513.5	2.5000000000000002e-144
SRR10507662|k141_1870_26	diarrheacdineg	Escherichia coli	SemiBin_30	9.59657984252708	SIAE|SIAE_26843_refseq	100.0	99.7	100.0	701.8	6.2000000000000005e-201
SRR10507659|k141_119869_31	cdipos	Phocaeicola massiliensis	bin.100	-19.3220441701956	SIAE|SIAE_5042_bv	100.0	99.8	100.0	1047.3	9.2e-305
SRR10507662|k141_5379_27	diarrheacdineg	Parabacteroides distasonis	bin.5	6.67979304640952	SIAE|SIAE_7801_bv	100.0	99.9	100.0	1442.9	0.0
SRR10507662|k141_27939_23	cdipos	Bacteroides hominis	SemiBin_103	11.1689378049913	kpsD|kpsD_12100_bv	53.2	99.9	99.9	897.1	2.5999999999999997e-259
SRR10507662|k141_31291_22	diarrheacdineg	Escherichia coli	SemiBin_30	7.54757566331124	kpsD|kpsD_12805_bv	100.0	99.8	99.8	1082.8	0.0
SRR10507661|k141_8349_4	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	30.0	kpsM|kpsM_209_bv	42.5	96.3	96.0	230.3	4.400000000000001e-59
SRR10507663|k141_4446_4	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	16.8214865646957	kpsM|kpsM_209_bv	42.5	96.3	96.0	230.3	4.400000000000001e-59
SRR10507659|k141_54308_13	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.17172297401687	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507666|k141_19524_27	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.18617083303423	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507655|k141_87272_24	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.294848696169	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507653|k141_62621_35	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.30644199602932	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507660|k141_31039_36	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.36194012685228	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507665|k141_28219_36	cdipos	Phocaeicola vulgatus	SemiBin_49	-6.3883707557955	nagA|nagA_2756_bv	100.0	99.7	100.0	781.2	9.6e-225
SRR10507662|k141_4856_80	diarrheacdineg	Parabacteroides distasonis	bin.5	9.17465552319944	nagA|nagA_6792_bv	100.0	99.8	100.0	798.1	7.9e-230
SRR10507661|k141_14765_6	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.7812867186279	nagA|nagA_88277_bv	100.0	99.7	100.0	782.3	4.3000000000000004e-225
SRR10507663|k141_331_8	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	17.7675172793704	nagA|nagA_88277_bv	100.0	99.7	100.0	782.3	4.3000000000000004e-225
SRR10507663|k141_5963_45	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	16.982820113916	nagB|nagB_190441_bv	100.0	99.6	91.7	459.5	3.9e-128
SRR10507661|k141_9745_46	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	15.76956989475	nagB|nagB_190441_bv	100.0	99.6	91.7	459.5	3.9e-128
