WP_012420517.1	D-alanyl-D-alanine carboxypeptidase family protein [Akkermansia muciniphila]
WP_020154505.1	D-alanyl-D-alanine carboxypeptidase family protein [Caldibacillus debilis]
WP_101785079.1	D-alanyl-D-alanine carboxypeptidase family protein [Nonomuraea indica]
WP_121443291.1	D-alanyl-D-alanine carboxypeptidase family protein [Aliarcobacter cryaerophilus]
WP_109278562.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces orinoci]
WP_132074354.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerospora hongkongensis]
WP_102138291.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacA [Providencia]
WP_093047183.1	D-alanyl-D-alanine carboxypeptidase family protein [Salipaludibacillus aurantiacus]
WP_189780332.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces capitiformicae]
WP_169302277.1	D-alanyl-D-alanine carboxypeptidase family protein [Thermomicrobium roseum]
WP_198949170.1	D-alanyl-D-alanine carboxypeptidase family protein [Lottiidibacillus patelloidae]
WP_172468393.1	D-alanyl-D-alanine carboxypeptidase family protein [Legionella gratiana]
WP_229534945.1	D-alanyl-D-alanine carboxypeptidase family protein [Pelosinus baikalensis]
WP_181338424.1	D-alanyl-D-alanine carboxypeptidase family protein [Capillibacterium thermochitinicola]
WP_242656200.1	D-alanyl-D-alanine carboxypeptidase family protein [Desulfofundulus thermosubterraneus]
WP_181742314.1	D-alanyl-D-alanine carboxypeptidase [Thermoactinomyces mirandus]
WP_249304399.1	D-alanyl-D-alanine carboxypeptidase family protein [Jutongia hominis]
WP_267300431.1	D-alanyl-D-alanine carboxypeptidase family protein [Hominimerdicola aceti]
WP_226370589.1	D-alanyl-D-alanine carboxypeptidase family protein [Virgibacillus alimentarius]
WP_246240337.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerocolumna sedimenticola]
WP_344976768.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptosporangium fragile]
WP_251182930.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerocaecibacter muris]
WP_003979965.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces]
WP_007084922.1	D-alanyl-D-alanine carboxypeptidase family protein [Neobacillus bataviensis]
WP_008826905.1	D-alanyl-D-alanine carboxypeptidase family protein [Haloplasma contractile]
WP_013201270.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacA [Erwiniaceae]
WP_017728115.1	D-alanyl-D-alanine carboxypeptidase family protein [Halalkalibacterium ligniniphilum]
WP_025042060.1	D-alanyl-D-alanine carboxypeptidase family protein [Nitrosospira briensis]
WP_027085004.1	D-alanyl-D-alanine carboxypeptidase family protein [Cohnella panacarvi]
WP_041692060.1	serine-type D-Ala-D-Ala carboxypeptidase DacD [Erwinia billingiae]
WP_041965640.1	D-alanyl-D-alanine carboxypeptidase family protein [Mesobacillus selenatarsenatis]
WP_058615814.1	D-alanyl-D-alanine carboxypeptidase family protein [Tepidimonas taiwanensis]
WP_092552220.1	serine hydrolase [Xenorhabdus koppenhoeferi]
WP_127017936.1	D-alanyl-D-alanine carboxypeptidase family protein [Anoxybacter fermentans]
WP_132082429.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerospora hongkongensis]
WP_142791568.1	D-alanyl-D-alanine carboxypeptidase family protein [Lentibacillus cibarius]
WP_152326259.1	MULTISPECIES: serine hydrolase [Rahnella]
WP_152326946.1	MULTISPECIES: serine hydrolase [Rahnella]
WP_156477553.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Falsihalocynthiibacter]
WP_186906556.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Oscillospiraceae]
WP_201873338.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces coffeae]
WP_234041863.1	D-alanyl-D-alanine carboxypeptidase family protein [Persicirhabdus sediminis]
WP_309320197.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerosinus gibii]
WP_344797769.1	D-alanyl-D-alanine carboxypeptidase family protein [Litoribacillus peritrichatus]
WP_344844871.1	D-alanyl-D-alanine carboxypeptidase family protein [Celeribacter arenosi]
WP_386076972.1	D-alanyl-D-alanine carboxypeptidase family protein [Tropicimonas aquimaris]
WP_309320535.1	D-alanyl-D-alanine carboxypeptidase family protein [Anaerosinus gibii]
WP_425649717.1	D-alanyl-D-alanine carboxypeptidase family protein [Brevibacillus nigriterrae]
WP_435952916.1	serine-type D-Ala-D-Ala carboxypeptidase [Dryocola baronae]
YP_005226006.1	D-alanyl-D-alanine carboxypeptidase [Klebsiella pneumoniae subsp. pneumoniae HS11286]
WP_003387190.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Brevibacillus]
WP_053603215.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Bacillus]
WP_053784495.1	D-alanyl-D-alanine carboxypeptidase family protein [Paenibacillus xylanivorans]
WP_040082739.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacB [Bacillus]
WP_055743525.1	D-alanyl-D-alanine carboxypeptidase family protein [Brevibacillus choshinensis]
WP_056771485.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacA [Rahnella]
WP_072910627.1	D-alanyl-D-alanine carboxypeptidase family protein [Desulforamulus aeronauticus]
WP_033828508.1	D-alanyl-D-alanine carboxypeptidase family protein [Bacillus andreraoultii]
WP_113657119.1	D-alanyl-D-alanine carboxypeptidase family protein [Thermoflavimicrobium daqui]
WP_142822745.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase [Rhizobium]
WP_025902164.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase DacA [Tatumella]
WP_132371070.1	D-alanyl-D-alanine carboxypeptidase family protein [Melghiribacillus thermohalophilus]
WP_206545507.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Nitratireductor]
WP_213427335.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Paenibacillus]
WP_224506727.1	SPOR domain-containing protein [Phyllobacterium chamaecytisi]
WP_245809133.1	D-alanyl-D-alanine carboxypeptidase family protein [Acinetobacter populi]
WP_218099105.1	D-alanyl-D-alanine carboxypeptidase family protein [Paenibacillus allorhizosphaerae]
WP_346799266.1	D-alanyl-D-alanine carboxypeptidase family protein [Halomonas kashgarensis]
WP_407077330.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces griseoaurantiacus]
WP_464169500.1	D-alanyl-D-alanine carboxypeptidase family protein [Desulfitobacterium elongatum]
WP_377424946.1	D-alanyl-D-alanine carboxypeptidase family protein [Plantactinospora solaniradicis]
WP_014968113.1	D-alanyl-D-alanine carboxypeptidase family protein [Gottschalkia acidurici]
WP_019006481.1	D-alanyl-D-alanine carboxypeptidase family protein [Cohnella laeviribosi]
WP_025335628.1	D-alanyl-D-alanine carboxypeptidase family protein [Paenibacillus sabinae]
WP_025345507.1	D-alanyl-D-alanine carboxypeptidase family protein [Sulfurospirillum multivorans]
WP_046917830.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces]
WP_046975635.1	MULTISPECIES: serine hydrolase [Photorhabdus]
WP_057541118.1	D-alanyl-D-alanine carboxypeptidase family protein [Paraclostridium sordellii]
WP_069988381.1	D-alanyl-D-alanine carboxypeptidase family protein [Massilioclostridium coli]
WP_085111899.1	MULTISPECIES: D-alanyl-D-alanine carboxypeptidase family protein [Thermoanaerobacterium]
WP_127026864.1	D-alanyl-D-alanine carboxypeptidase family protein [Candidatus Methylobacter oryzae]
WP_162007985.1	D-alanyl-D-alanine carboxypeptidase family protein [Heliorestis convoluta]
WP_144351785.1	D-alanyl-D-alanine carboxypeptidase family protein [Sporomusa termitida]
WP_137697923.1	D-alanyl-D-alanine carboxypeptidase family protein [Ruminiclostridium herbifermentans]
WP_204439165.1	D-alanyl-D-alanine carboxypeptidase family protein [Amphibacillus cookii]
WP_204597439.1	D-alanyl-D-alanine carboxypeptidase family protein [Clostridium pascui]
WP_189262906.1	D-alanyl-D-alanine carboxypeptidase family protein [Streptomyces fuscichromogenes]
WP_227395885.1	D-alanyl-D-alanine carboxypeptidase family protein [Jeotgalibacillus aurantiacus]
WP_199397097.1	D-alanyl-D-alanine carboxypeptidase family protein [Geomonas propionica]
WP_227599870.1	D-alanyl-D-alanine carboxypeptidase family protein [Agathobaculum butyriciproducens]
WP_211142495.1	D-alanyl-D-alanine carboxypeptidase family protein [Clostridium aciditolerans]
