MAG_protein	Sialic_hit	Identity	Alignment_length	Query_length	Subject_length	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
CDIpos_DASTool_bins_bin.100|k141_58618_92	nanU|nanU_42577_bv	77.3	537	538	536	99.8	99.8	4.6e-249	862.4	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_58618_95	nanU|nanU_256145_bv	98.9	542	543	545	99.8	99.4	0.0e+00	1130.2	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_136543_12	SIAE|SIAE_5042_bv	100.0	497	498	497	99.8	100.0	9.2e-305	1047.3	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_136543_14	nagB|nagB_9212_bv	100.0	263	264	263	99.6	100.0	8.7e-153	541.6	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_12056_2	nanU|nanU_430414_bv	46.8	628	612	611	99.8	99.0	9.4e-158	559.3	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_71887_36	nanU|nanU_444739_bv	99.8	474	505	474	93.9	100.0	1.4e-284	980.3	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_71887_43	nanM|nanM_3259_bv	44.9	345	380	352	90.8	93.8	1.1e-71	272.7	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_122120_8	nanU|nanU_460596_bv	43.8	491	488	498	99.2	98.4	3.2e-108	394.4	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.100|k141_19384_3	nanU|nanU_428403_bv	69.7	492	498	495	98.8	99.4	6.2e-208	725.7	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.2|k141_126378_47	satD|WP_062009075.1	41.1	231	269	273	85.5	84.6	1.5e-43	178.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_126378_50	satB|MBM3693078.1	40.0	315	315	315	97.5	99.4	1.2e-55	219.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_3	siaM|siaM_3328_bv	100.0	433	434	433	99.8	100.0	1.8e-227	790.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_4	siaQ|siaQ_388033_bv	100.0	167	168	171	99.4	97.7	1.1e-81	304.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	239	329	248	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_58348_11	satD|HJG53471.1	40.5	190	234	264	79.5	71.2	7.3e-26	119.8	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_48864_19	siaQ|siaQ_3733_bv	100.0	160	161	160	99.4	100.0	9.6e-86	318.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	434	435	434	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_137330_56	nagB|nagB_62438_bv	44.0	225	238	253	94.1	88.5	2.8e-49	197.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_127706_115	satD|WP_115412169.1	40.0	210	241	276	84.6	75.4	4.1e-32	140.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_40710_32	siaT|siaT_3434_uniprot	100.0	436	437	436	99.8	100.0	3.7e-209	729.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_37	nanQ|nanQ_4_bv	100.0	154	155	154	99.4	100.0	6.0e-85	315.5	CDIpos	bin.2	Escherichia coli
