qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	baseMean	log2FoldChange	padj
SRR11927450|k99_3676_1	GH2.UWP48101.1	69.3	834	251	2	53	881	1	834	0.0e+00	1260.0	28.4924398435378	-33.79926298195	1.80376144400998e-26
SRR11927449|k99_2451_8	WP_066402067.1	75.4	710	174	1	3	711	2	711	0.0e+00	1140.2	21.0756164203346	-32.9312968295457	3.20906097698101e-25
SRR11927449|k99_3418_2	GH31.AAR59382.1	73.1	695	186	1	15	708	3	697	0.0e+00	1101.3	22.5103118402359	-32.4126870150118	5.10272952697647e-24
SRR11927449|k99_13397_1	GH2.UWP48101.1	68.8	831	254	2	4	829	1	831	0.0e+00	1256.1	27.2649669052997	-32.4534567003336	6.36737377319498e-24
SRR11927449|k99_8480_3	AAO78901.1	66.5	517	168	1	1	512	1	517	9.2e-214	742.3	17.5850469586249	-32.0818370934495	1.35525259194956e-23
SRR11927440|k99_4789_2	GH3.UVR10884.1	43.5	577	274	6	21	586	35	570	4.8e-131	468.0	12.5297268568889	30.1556286454365	5.97533322250895e-21
SRR11927450|k99_422_1	GH35.UVS00231.1	78.0	601	128	2	4	601	9	608	5.6e-295	1012.3	16.6778804529412	-29.4793190906166	4.95383197019118e-20
SRR11927437|k99_16663_2	GH31.UBD12839.1	66.6	1294	419	4	4	1291	8	1294	0.0e+00	1809.3	14.3799954789643	30.750109066698	2.38771740084123e-19
SRR11927449|k99_375_5	GH3.QUT44772.1	59.5	565	207	7	2	545	6	569	8.1e-182	636.7	19.3194671482383	-30.9930886940395	2.65295221559083e-19
SRR11927448|k99_17378_4	GH89.UHZ88335.1	63.9	715	255	2	2	713	4	718	5.6e-294	1009.2	26.4749534808658	-28.504174648411	7.61561501253006e-19
SRR11927439|k99_20216_29	WP_082944018.1	75.4	651	160	0	46	696	7	657	1.7e-311	1067.4	19.2977432866634	29.8696776328667	5.0761348090936e-18
SRR11927435|k99_33593_1	GH31.UBD12839.1	66.6	1294	419	4	4	1291	8	1294	0.0e+00	1809.3	13.35686653788	29.1450883935433	1.50835246116429e-17
