MAG_protein	Sialic_hit	Identity	Alignment_length	Query_length	Subject_length	Query_cov	Subject_cov	Evalue	Bitscore	Condition	Bin	Taxonomy
CDIpos_DASTool_bins_bin.100|k141_117059_2	nanU|nanU_38453_bv	54.6	577	584	597	96.7	95.6	2.3e-174	614.4	CDIpos	bin.100	Phocaeicola massiliensis
CDIpos_DASTool_bins_bin.2|k141_126378_47	satD|WP_062009075.1	41.1	231	269	273	85.5	84.6	1.5e-43	178.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_126378_50	satB|MBM3693078.1	40.0	315	315	315	97.5	99.4	1.2e-55	219.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_3	siaM|siaM_3328_bv	100.0	433	434	433	99.8	100.0	1.8e-227	790.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_4	siaQ|siaQ_388033_bv	100.0	167	168	171	99.4	97.7	1.1e-81	304.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_97161_5	siaP|siaP_733330_bv	100.0	239	329	248	72.6	96.4	1.5e-130	468.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_58348_11	satD|HJG53471.1	40.5	190	234	264	79.5	71.2	7.3e-26	119.8	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_48864_19	siaQ|siaQ_3733_bv	100.0	160	161	160	99.4	100.0	9.6e-86	318.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_48864_20	siaM|siaM_2231_bv	100.0	434	435	434	99.8	100.0	4.0e-227	789.3	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_40098_12	satD|WP_419102340.1	46.1	267	335	290	79.7	90.7	1.4e-59	232.3	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_137330_50	nagA|nagA_31930_refseq	98.4	377	378	377	99.7	100.0	7.7e-211	734.9	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_137330_56	nagB|nagB_62438_bv	44.0	225	238	253	94.1	88.5	2.8e-49	197.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_127706_115	satD|WP_115412169.1	40.0	210	241	276	84.6	75.4	4.1e-32	140.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_40710_32	siaT|siaT_3434_uniprot	100.0	436	437	436	99.8	100.0	3.7e-209	729.6	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_40710_33	siaQ|siaQ_46_uniprot	46.3	149	154	159	96.8	91.2	5.5e-30	132.9	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_37	nanQ|nanQ_4_bv	100.0	154	155	154	99.4	100.0	6.0e-85	315.5	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_38	nanK|nanK_717_bv	100.0	291	292	291	99.7	100.0	3.4e-158	559.7	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_39	nanE|nanE_8421_bv	100.0	229	230	261	99.6	87.7	8.8e-125	448.4	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_40	nanT|nanT_4300_bv	100.0	496	497	506	99.8	98.0	1.2e-283	977.2	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_41	nanA|nanA_5472_bv	100.0	297	298	308	99.7	96.4	5.4e-167	589.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_138055_42	nanR|nanR_8_bv	100.0	263	264	263	99.6	100.0	4.1e-126	453.0	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_12019_37	satD|WP_129315695.1	41.3	252	269	273	92.6	92.3	6.6e-47	189.9	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_41201_24	nanQ|nanQ_1757_bv	96.8	155	156	155	99.4	100.0	2.5e-83	310.1	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_41201_26	siaT|siaT_19174_uniprot	90.6	425	426	425	99.8	100.0	3.2e-205	716.5	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_41201_27	siaP|siaP_523080_bv	53.2	316	329	332	95.7	94.3	2.6e-90	334.3	CDIpos	bin.2	Escherichia coli
CDIpos_DASTool_bins_bin.2|k141_90233_8	satB|MFN4189717.1	43.8	324	341	305	95.0	96.4	1.8e-65	251.9	CDIpos	bin.2	Escherichia coli
