CDS	condition	species	bin	log2FoldChange	Sialic_protein	Identity	Query_coverage	Subject_coverage	Bitscore	Evalue
SRR10507666|k141_10263_2	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.32345681599793	SIAE|SIAE_11657_bv	100.0	99.8	99.8	990.3	1.3e-287
SRR10507665|k141_57009_38	cdipos	Ruthenibacterium lactatiformans	bin.3	7.67945073220166	SIAE|SIAE_12166_uniprot	100.0	99.8	88.2	999.2	2.7e-290
SRR10507660|k141_20205_4	cdipos	Parabacteroides distasonis	bin.71	9.0098047952893	SIAE|SIAE_9715_bv	100.0	99.8	100.0	994.6	6.799999999999999e-289
SRR10507665|k141_23466_10	cdipos	Parabacteroides distasonis	bin.71	8.16076784629509	SIAE|SIAE_9715_bv	100.0	99.8	100.0	994.6	6.799999999999999e-289
SRR10507653|k141_83599_41	cdipos	Faecalibacterium longum	bin.92	-8.13532556843039	nagA|nagA_128853_bv	100.0	99.7	99.7	779.2	3.6000000000000005e-224
SRR10507660|k141_39434_1	cdipos	Ruthenibacterium lactatiformans	bin.3	8.3882181318741	nagA|nagA_15549_bv	100.0	99.7	100.0	802.4	4.0999999999999996e-231
SRR10507665|k141_15547_2	cdipos	Ruthenibacterium lactatiformans	bin.3	8.24574299367417	nagA|nagA_15549_bv	100.0	99.7	100.0	802.4	4.0999999999999996e-231
SRR10507666|k141_12471_135	cdipos	Escherichia coli	bin.2	11.2144818753842	nagA|nagA_31930_refseq	98.4	99.7	100.0	734.9	7.7e-211
SRR10507658|k141_11379_156	cdipos	Escherichia coli	bin.2	11.1081408982977	nagA|nagA_31930_refseq	98.4	99.7	100.0	734.9	7.7e-211
SRR10507666|k141_64_582	cdipos	Escherichia coli	bin.2	9.37538738991641	nagA|nagA_54888_bv	100.0	99.7	95.0	767.3	1.4e-220
SRR10507658|k141_15094_103	cdipos	Escherichia coli	bin.2	8.9732590665044	nagA|nagA_54888_bv	100.0	99.7	95.0	767.3	1.4e-220
SRR10507660|k141_20915_14	cdipos	Parabacteroides distasonis	bin.71	6.54047974448176	nagB|nagB_173245_bv	49.6	97.9	97.9	239.6	6.499999999999999e-62
SRR10507653|k141_131997_4	control	Eubacterium_R sp000434995	bin.32	-23.032013108009	nagB|nagB_40150_bv	100.0	99.6	100.0	486.9	2.3e-136
SRR10507656|k141_42415_145	control	Eubacterium_R sp000434995	bin.32	-23.2145106299065	nagB|nagB_40150_bv	100.0	99.6	100.0	486.9	2.3e-136
SRR10507666|k141_12471_129	cdipos	Escherichia coli	bin.2	23.557294701612	nagB|nagB_62438_bv	44.0	94.1	88.5	197.6	2.8e-49
SRR10507658|k141_11379_162	cdipos	Escherichia coli	bin.2	23.5379394553429	nagB|nagB_62438_bv	44.0	94.1	88.5	197.6	2.8e-49
SRR10507666|k141_64_581	cdipos	Escherichia coli	bin.2	7.18762769932935	nagB|nagB_80253_bv	84.2	99.6	100.0	499.6	3.8e-140
SRR10507658|k141_11379_234	cdipos	Escherichia coli	bin.2	23.8783305820668	nanA|nanA_5472_bv	100.0	99.7	96.4	589.0	5.4e-167
SRR10507666|k141_12471_57	cdipos	Escherichia coli	bin.2	9.1283053610418	nanA|nanA_5472_bv	100.0	99.7	96.4	589.0	5.4e-167
SRR10507663|k141_2018_67	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	14.0914066471021	nanE|nanE_26011_bv	100.0	99.6	93.4	437.2	2e-121
SRR10507658|k141_11379_232	cdipos	Escherichia coli	bin.2	23.5428616495214	nanE|nanE_8421_bv	100.0	99.6	87.7	448.4	8.800000000000001e-125
SRR10507666|k141_12471_59	cdipos	Escherichia coli	bin.2	23.5415621991268	nanE|nanE_8421_bv	100.0	99.6	87.7	448.4	8.800000000000001e-125
SRR10507660|k141_39517_8	cdipos	Parabacteroides distasonis	bin.71	6.45970809815091	nanH|nanH_15173_bv	99.7	72.8	100.0	815.8	4.9e-235
SRR10507660|k141_15775_23	cdipos	Parabacteroides distasonis	bin.71	6.65967217408033	nanH|nanH_9455_bv	45.5	97.6	96.9	408.3	1.8e-112
SRR10507660|k141_26108_2	cdipos	Ruthenibacterium lactatiformans	bin.3	7.47942463317913	nanK|nanK_10126_bv	100.0	99.6	91.7	549.3	4.4e-155
SRR10507661|k141_10280_52	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	15.6005085865617	nanK|nanK_30939_bv	98.3	79.3	100.0	471.9	9.5e-132
SRR10507663|k141_7482_2	diarrheacdineg	Enterococcus_B faecium	SemiBin_28	15.2108821422538	nanK|nanK_30939_bv	98.3	79.3	100.0	471.9	9.5e-132
SRR10507653|k141_136459_20	control	Eubacterium_R sp000434995	bin.32	-23.3514708887299	nanK|nanK_40_bv	59.1	99.4	99.4	381.7	1.4e-104
SRR10507656|k141_91866_394	control	Eubacterium_R sp000434995	bin.32	-23.4809897892895	nanK|nanK_40_bv	59.1	99.4	99.4	381.7	1.4e-104
SRR10507658|k141_4476_207	cdipos	Escherichia coli	bin.2	9.85971526018764	nanK|nanK_707_uniprot	55.3	87.2	96.4	391.7	1.7e-107
SRR10507666|k141_28259_520	cdipos	Escherichia coli	bin.2	8.87018111885808	nanK|nanK_707_uniprot	55.3	87.2	96.4	391.7	1.7e-107
SRR10507658|k141_11379_231	cdipos	Escherichia coli	bin.2	23.9973865194932	nanK|nanK_717_bv	100.0	99.7	100.0	559.7	3.4000000000000003e-158
SRR10507666|k141_12471_60	cdipos	Escherichia coli	bin.2	23.9543301804984	nanK|nanK_717_bv	100.0	99.7	100.0	559.7	3.4000000000000003e-158
SRR10507660|k141_57618_351	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.37245794082291	nanK|nanK_7216_bv	43.5	96.1	96.8	231.5	2.5e-59
SRR10507665|k141_60399_3	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.34814315267525	nanK|nanK_7216_bv	43.5	96.1	96.8	231.5	2.5e-59
SRR10507658|k141_31782_19	cdipos	Escherichia coli	bin.2	9.19528785501156	nanQ|nanQ_1757_bv	96.8	99.4	100.0	310.1	2.5e-83
SRR10507658|k141_11379_230	cdipos	Escherichia coli	bin.2	23.4672040448851	nanQ|nanQ_4_bv	100.0	99.4	100.0	315.5	6e-85
SRR10507662|k141_51282_25	cdipos	Parabacteroides distasonis	bin.71	19.095021229959	nanQ|nanQ_634_uniprot	100.0	99.3	100.0	309.7	3.1999999999999997e-83
SRR10507666|k141_34645_2	cdipos	Enterocloster aldenensis	SemiBin_10	7.71046307257217	nanR|nanR_1411_uniprot	49.7	99.6	98.6	438.0	2.5e-121
SRR10507662|k141_44351_214	diarrheacdineg	Enterocloster bolteae	SemiBin_60	21.273022353314	nanR|nanR_1411_uniprot	43.8	98.8	98.8	413.3	6.599999999999999e-114
SRR10507658|k141_11379_235	cdipos	Escherichia coli	bin.2	23.6584585795057	nanR|nanR_8_bv	100.0	99.6	100.0	453.0	4.1000000000000004e-126
SRR10507666|k141_12471_58	cdipos	Escherichia coli	bin.2	11.3401966790187	nanT|nanT_4300_bv	100.0	99.8	98.0	977.2	1.2e-283
SRR10507658|k141_11379_233	cdipos	Escherichia coli	bin.2	10.2339806080701	nanT|nanT_4300_bv	100.0	99.8	98.0	977.2	1.2e-283
SRR10507665|k141_62550_4	cdipos	Escherichia coli	bin.2	7.79569004567329	nanT|nanT_4300_bv	100.0	99.8	98.0	977.2	1.2e-283
SRR10507660|k141_48021_97	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.93082772650381	nanU|nanU_156911_bv	65.0	99.2	100.0	676.4	4.3e-193
SRR10507665|k141_13307_97	cdipos	Alistipes onderdonkii	SemiBin_130_sub	7.84929202245186	nanU|nanU_156911_bv	65.0	99.2	100.0	676.4	4.3e-193
SRR10507659|k141_117413_111	cdipos	Alistipes onderdonkii	SemiBin_130_sub	7.78886845714238	nanU|nanU_156911_bv	65.0	99.2	100.0	676.4	4.3e-193
SRR10507665|k141_98_48	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.83699813885115	nanU|nanU_168364_bv	41.9	99.8	99.6	405.2	2e-111
SRR10507660|k141_48858_47	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.03733021751578	nanU|nanU_168364_bv	41.9	99.8	99.6	405.2	2e-111
SRR10507662|k141_27771_46	cdipos	Parabacteroides distasonis	bin.71	9.71208972109692	nanU|nanU_183841_bv	100.0	99.8	97.5	1014.6	6.7e-295
SRR10507665|k141_19596_118	cdipos	Parabacteroides distasonis	bin.71	8.31391658330098	nanU|nanU_183841_bv	100.0	99.8	97.5	1014.6	6.7e-295
SRR10507665|k141_17755_8	cdipos	Parabacteroides distasonis	bin.71	9.33867096075314	nanU|nanU_191178_bv	99.1	99.1	99.6	1068.9	3.2e-311
SRR10507665|k141_51859_58	cdipos	Parabacteroides distasonis	bin.71	23.3476425169275	nanU|nanU_291680_bv	42.6	99.0	98.2	419.1	1.1999999999999999e-115
SRR10507662|k141_38285_64	diarrheacdineg	Parabacteroides distasonis	bin.5	22.9231139211117	nanU|nanU_291680_bv	42.8	99.0	98.2	422.5	1.0999999999999999e-116
SRR10507660|k141_5820_26	cdipos	Parabacteroides distasonis	bin.71	10.1529886965589	nanU|nanU_291680_bv	42.6	99.0	98.2	419.1	1.1999999999999999e-115
SRR10507665|k141_51859_30	cdipos	Parabacteroides distasonis	bin.71	6.74933930286993	nanU|nanU_302044_bv	46.5	99.6	98.4	454.1	3.9000000000000005e-126
SRR10507660|k141_48658_43	cdipos	Parabacteroides distasonis	bin.71	10.3116228893371	nanU|nanU_305779_bv	60.5	99.7	100.0	748.0	1.4e-214
SRR10507662|k141_49279_2	cdipos	Parabacteroides distasonis	bin.71	9.41247608584916	nanU|nanU_305779_bv	60.5	99.7	100.0	748.0	1.4e-214
SRR10507665|k141_31255_42	cdipos	Parabacteroides distasonis	bin.71	8.08994725199412	nanU|nanU_305779_bv	60.5	99.7	100.0	748.0	1.4e-214
SRR10507660|k141_48021_41	cdipos	Alistipes onderdonkii	SemiBin_130_sub	8.13427271899498	nanU|nanU_313707_bv	54.3	97.5	98.5	587.4	2.9e-166
SRR10507659|k141_117413_53	cdipos	Alistipes onderdonkii	SemiBin_130_sub	7.80574147669335	nanU|nanU_313707_bv	54.3	97.5	98.5	587.4	2.9e-166
SRR10507659|k141_35572_2	cdipos	Phocaeicola massiliensis	bin.100	25.5044291672134	nanU|nanU_38453_bv	54.6	96.7	95.6	614.4	2.3000000000000003e-174
SRR10507666|k141_3934_23	cdipos	Phocaeicola massiliensis	bin.100	24.692522492641	nanU|nanU_38453_bv	54.6	96.7	95.6	614.4	2.3000000000000003e-174
SRR10507665|k141_17826_17	diarrheacdineg	Parabacteroides distasonis	bin.5	8.19129062801664	nanU|nanU_410087_bv	98.7	92.3	100.0	942.6	3.2000000000000003e-273
